Sat Dec 30 02:22:00 PM AEDT 2023
# hypergraphs = ["../Model_1/H/", "../Model_3/H/", "../Model_4/H/"]
# load_model = nothing
# 0W = false
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# 0V = true
# nFilters2 = 32
# pre = nothing
# pred = pred_0V_134.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_1/nodeCents/", "../Model_3/nodeCents/", "../Model_4/nodeCents/"]
# cv = true
# epochs = 500
# save_model = models/model_0V_134.bson
# sample = nothing
# 0H = false
# Reading label 1 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 2 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
# Reading label 3 from 1017 hypergraphs matching:
# ../Model_4/H/
# ../Model_4/nodeCents/
# num label 1 = 989
# num label 2 = 970
# num label 3 = 1017
# test=1, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0942003727	0.3615470852	0.6582085990	0.6467168140	2023-12-30T14:24:05.098
10	0.2163315117	0.9220852018	0.9863997939	[1m0.9712358921[0m	2023-12-30T14:27:43.437
20	0.1396950036	0.9445067265	0.9947718096	[1m0.9737689769[0m	2023-12-30T14:29:43.703
30	0.0887607858	0.9770179372	0.9984566796	0.9736674059	2023-12-30T14:31:45.176
40	0.0582506321	0.9848654709	0.9995845908	[1m0.9740237180[0m	2023-12-30T14:33:47.690
50	0.0434166640	0.9910313901	0.9999517699	0.9729677479	2023-12-30T14:35:50.749
60	0.0169032868	0.9994394619	1.0000000000	0.9739530975	2023-12-30T14:37:54.334
70	0.0089339325	1.0000000000	1.0000000000	0.9734744128	2023-12-30T14:39:58.246
80	0.0047895950	1.0000000000	1.0000000000	0.9735130938	2023-12-30T14:42:02.515
90	0.0083301309	1.0000000000	1.0000000000	0.9716396667	2023-12-30T14:44:07.186
100	0.0013303666	1.0000000000	1.0000000000	0.9731720817	2023-12-30T14:46:12.157
110	0.0008282324	1.0000000000	1.0000000000	0.9730669728	2023-12-30T14:48:17.154
120	0.0006653846	1.0000000000	1.0000000000	0.9728235675	2023-12-30T14:50:22.446
130	0.0002875194	1.0000000000	1.0000000000	0.9731107393	2023-12-30T14:52:28.048
140	0.0001861930	1.0000000000	1.0000000000	0.9730547314	2023-12-30T14:54:33.809
eval AUC = 0.9808047103895494
eval Acc = 0.9026845637583892
# test=1, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1068098545	0.3413677130	0.5392998867	0.5262999864	2023-12-30T14:56:43.967
10	0.2343888432	0.9192825112	0.9860235408	[1m0.9742419614[0m	2023-12-30T14:58:51.716
20	0.1472994834	0.9506726457	0.9935589586	[1m0.9751640573[0m	2023-12-30T15:00:58.324
30	0.1198882684	0.9618834081	0.9970389680	0.9748804772	2023-12-30T15:03:05.065
40	0.0727928504	0.9831838565	0.9988036036	0.9746438878	2023-12-30T15:05:12.109
50	0.0524784215	0.9859865471	0.9996971769	0.9746869900	2023-12-30T15:07:19.198
60	0.0234230533	0.9977578475	0.9999957969	0.9750861251	2023-12-30T15:09:26.563
70	0.0183492191	0.9983183857	1.0000000000	0.9739747873	2023-12-30T15:11:34.102
80	0.0117234122	1.0000000000	1.0000000000	0.9747296970	2023-12-30T15:13:41.916
90	0.0044531394	1.0000000000	1.0000000000	0.9744453335	2023-12-30T15:15:49.625
100	0.0024638497	1.0000000000	1.0000000000	0.9745611556	2023-12-30T15:17:57.747
110	0.0012157765	1.0000000000	1.0000000000	0.9746198226	2023-12-30T15:20:05.898
120	0.0012811604	1.0000000000	1.0000000000	0.9737270925	2023-12-30T15:22:14.125
eval AUC = 0.9840099444143925
eval Acc = 0.9110738255033557
# test=1, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0961869955	0.3413677130	0.6315373586	0.6049110666	2023-12-30T15:24:26.124
10	0.2087833434	0.9304932735	0.9880052583	[1m0.9718034691[0m	2023-12-30T15:26:34.628
20	0.1383225769	0.9489910314	0.9951270329	[1m0.9741216476[0m	2023-12-30T15:28:43.353
30	0.0814316049	0.9826233184	0.9982930109	[1m0.9742462852[0m	2023-12-30T15:30:52.216
40	0.0525431521	0.9904708520	0.9996044934	0.9735910210	2023-12-30T15:33:01.308
50	0.0307741947	0.9966367713	0.9999778823	[1m0.9743556722[0m	2023-12-30T15:35:10.536
60	0.0132449688	1.0000000000	1.0000000000	0.9737113179	2023-12-30T15:37:18.974
70	0.0081478925	1.0000000000	1.0000000000	0.9739982287	2023-12-30T15:39:25.993
80	0.0043058121	1.0000000000	1.0000000000	0.9734075231	2023-12-30T15:41:32.180
90	0.0038728148	1.0000000000	1.0000000000	0.9729509109	2023-12-30T15:43:37.736
100	0.0013574399	1.0000000000	1.0000000000	0.9732694877	2023-12-30T15:45:42.625
110	0.0013644858	1.0000000000	1.0000000000	0.9734330376	2023-12-30T15:47:46.663
120	0.0006421768	1.0000000000	1.0000000000	0.9728365188	2023-12-30T15:49:49.010
130	0.0002886262	1.0000000000	1.0000000000	0.9729811259	2023-12-30T15:51:49.766
140	0.0001555654	1.0000000000	1.0000000000	0.9728133650	2023-12-30T15:53:49.112
150	0.0001015611	1.0000000000	1.0000000000	0.9726954163	2023-12-30T15:55:47.916
eval AUC = 0.9805202858213083
eval Acc = 0.9026845637583892
# test=1, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0953142643	0.4121923937	0.7559331183	0.7560433993	2023-12-30T15:57:49.785
10	0.2603006065	0.8926174497	0.9841256671	[1m0.9666745899[0m	2023-12-30T15:59:48.408
20	0.1347059757	0.9541387025	0.9947886422	[1m0.9751944451[0m	2023-12-30T16:01:46.469
30	0.1442029327	0.9401565996	0.9972799894	0.9738923387	2023-12-30T16:03:43.966
40	0.0643080622	0.9815436242	0.9993331822	[1m0.9754992273[0m	2023-12-30T16:05:41.713
50	0.0553621501	0.9854586130	0.9999708724	0.9754125401	2023-12-30T16:07:39.577
60	0.0181007814	1.0000000000	1.0000000000	0.9753997876	2023-12-30T16:09:37.497
70	0.0104200970	1.0000000000	1.0000000000	0.9751199032	2023-12-30T16:11:35.650
80	0.0055604205	1.0000000000	1.0000000000	0.9751770861	2023-12-30T16:13:34.176
90	0.0031100940	1.0000000000	1.0000000000	0.9751329482	2023-12-30T16:15:32.491
100	0.0021358759	1.0000000000	1.0000000000	0.9750701532	2023-12-30T16:17:30.997
110	0.0010307508	1.0000000000	1.0000000000	0.9750738430	2023-12-30T16:19:29.652
120	0.0015219764	1.0000000000	1.0000000000	0.9743752982	2023-12-30T16:21:28.196
130	0.0008723876	1.0000000000	1.0000000000	0.9746783349	2023-12-30T16:23:26.899
140	0.0006226063	1.0000000000	1.0000000000	0.9748628249	2023-12-30T16:25:25.749
eval AUC = 0.9788157602191391
eval Acc = 0.9003378378378378
# test=2, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1078484058	0.3307174888	0.3253901115	0.3246714660	2023-12-30T16:27:28.067
10	0.2183162719	0.9187219731	0.9865716491	[1m0.9784883716[0m	2023-12-30T16:29:27.308
20	0.1437420398	0.9461883408	0.9944103736	[1m0.9807291289[0m	2023-12-30T16:31:26.613
30	0.0934725702	0.9725336323	0.9980461492	[1m0.9814895135[0m	2023-12-30T16:33:25.883
40	0.1071675047	0.9585201794	0.9991067326	0.9814581815	2023-12-30T16:35:25.349
50	0.0351707414	0.9938340807	0.9999030939	[1m0.9819608567[0m	2023-12-30T16:37:24.735
60	0.0201199017	1.0000000000	1.0000000000	0.9819221808	2023-12-30T16:39:24.296
70	0.0202108771	0.9988789238	1.0000000000	[1m0.9822274139[0m	2023-12-30T16:41:24.144
80	0.0103514502	1.0000000000	1.0000000000	0.9818269203	2023-12-30T16:43:24.074
90	0.0033832898	1.0000000000	1.0000000000	[1m0.9823841395[0m	2023-12-30T16:45:24.014
100	0.0020304699	1.0000000000	1.0000000000	0.9823774056	2023-12-30T16:47:23.849
110	0.0012259982	1.0000000000	1.0000000000	[1m0.9825525853[0m	2023-12-30T16:49:23.774
120	0.0007662885	1.0000000000	1.0000000000	0.9822183354	2023-12-30T16:51:24.016
130	0.0004569837	1.0000000000	1.0000000000	0.9824780978	2023-12-30T16:53:24.391
140	0.0002931624	1.0000000000	1.0000000000	0.9822417140	2023-12-30T16:55:24.791
150	0.0001543542	1.0000000000	1.0000000000	0.9824441925	2023-12-30T16:57:25.196
160	0.0000849321	1.0000000000	1.0000000000	0.9822656221	2023-12-30T16:59:25.556
170	0.0000574328	1.0000000000	1.0000000000	0.9821286087	2023-12-30T17:01:26.191
180	0.0000341894	1.0000000000	1.0000000000	0.9820324763	2023-12-30T17:03:26.722
190	0.0000237373	1.0000000000	1.0000000000	0.9820703607	2023-12-30T17:05:27.228
200	0.0000232909	1.0000000000	1.0000000000	0.9821670434	2023-12-30T17:07:27.976
210	0.0000079840	1.0000000000	1.0000000000	0.9820614600	2023-12-30T17:09:29.099
eval AUC = 0.9760114522091997
eval Acc = 0.8909395973154363
# test=2, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1086139679	0.3413677130	0.3967480800	0.4069822466	2023-12-30T17:11:33.625
10	0.2341949344	0.9142376682	0.9838098617	[1m0.9783235817[0m	2023-12-30T17:13:35.916
20	0.1745337993	0.9327354260	0.9915204358	[1m0.9793708561[0m	2023-12-30T17:15:37.234
30	0.1156292930	0.9624439462	0.9962894040	0.9792447016	2023-12-30T17:17:38.595
40	0.1016373709	0.9551569507	0.9985845740	[1m0.9806603156[0m	2023-12-30T17:19:39.774
50	0.0502024926	0.9932735426	0.9996958781	0.9804792911	2023-12-30T17:21:41.217
60	0.0286202747	0.9977578475	0.9999947906	[1m0.9813356960[0m	2023-12-30T17:23:42.525
70	0.0134173380	1.0000000000	1.0000000000	0.9812137061	2023-12-30T17:25:43.833
80	0.0070591592	1.0000000000	1.0000000000	[1m0.9816986349[0m	2023-12-30T17:27:45.356
90	0.0040389160	1.0000000000	1.0000000000	[1m0.9817691598[0m	2023-12-30T17:29:46.850
100	0.0029590658	1.0000000000	1.0000000000	0.9814534170	2023-12-30T17:31:48.374
110	0.0011377749	1.0000000000	1.0000000000	[1m0.9821454018[0m	2023-12-30T17:33:49.854
120	0.0006986774	1.0000000000	1.0000000000	[1m0.9823098717[0m	2023-12-30T17:35:51.380
130	0.0004297086	1.0000000000	1.0000000000	0.9822092496	2023-12-30T17:37:52.978
140	0.0002752565	1.0000000000	1.0000000000	[1m0.9824345750[0m	2023-12-30T17:39:54.865
150	0.0001876906	1.0000000000	1.0000000000	[1m0.9826250863[0m	2023-12-30T17:41:56.771
160	0.0000939369	1.0000000000	1.0000000000	0.9825276041	2023-12-30T17:43:58.881
170	0.0000705095	1.0000000000	1.0000000000	0.9825326720	2023-12-30T17:46:01.003
180	0.0000363846	1.0000000000	1.0000000000	[1m0.9826978503[0m	2023-12-30T17:48:02.992
190	0.0000210307	1.0000000000	1.0000000000	0.9825613779	2023-12-30T17:50:05.121
200	0.0000128204	1.0000000000	1.0000000000	0.9824882632	2023-12-30T17:52:07.160
210	0.0000078501	1.0000000000	1.0000000000	[1m0.9827958746[0m	2023-12-30T17:54:09.411
220	0.0000050624	1.0000000000	1.0000000000	0.9824607945	2023-12-30T17:56:11.543
230	0.0000031620	1.0000000000	1.0000000000	0.9826135111	2023-12-30T17:58:13.781
240	0.0000018839	1.0000000000	1.0000000000	0.9817602937	2023-12-30T18:00:16.129
250	0.0000011963	1.0000000000	1.0000000000	0.9818170328	2023-12-30T18:02:18.738
260	0.0000008465	1.0000000000	1.0000000000	0.9812038423	2023-12-30T18:04:21.179
270	0.0000004030	1.0000000000	1.0000000000	0.9808424126	2023-12-30T18:06:23.891
280	0.0000002396	1.0000000000	1.0000000000	0.9809800735	2023-12-30T18:08:26.415
290	0.0000001545	1.0000000000	1.0000000000	0.9811432638	2023-12-30T18:10:29.412
300	0.0000000905	1.0000000000	1.0000000000	0.9811253837	2023-12-30T18:12:32.459
310	0.0000000528	1.0000000000	1.0000000000	0.9812286893	2023-12-30T18:14:35.529
eval AUC = 0.9831912430941786
eval Acc = 0.9144295302013423
# test=2, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0977368355	0.3262331839	0.6335022112	0.6298240647	2023-12-30T18:16:42.252
10	0.2408631146	0.9091928251	0.9832643370	[1m0.9754561950[0m	2023-12-30T18:18:45.760
20	0.1972584128	0.9243273543	0.9901562882	[1m0.9773696168[0m	2023-12-30T18:20:49.877
30	0.1110126674	0.9669282511	0.9969551896	[1m0.9800387602[0m	2023-12-30T18:22:53.846
40	0.0819676220	0.9719730942	0.9989513119	[1m0.9807140405[0m	2023-12-30T18:24:57.629
50	0.0391221233	0.9949551570	0.9998504504	[1m0.9807879544[0m	2023-12-30T18:27:01.429
60	0.0234367922	0.9983183857	0.9999923762	0.9804769405	2023-12-30T18:29:05.651
70	0.0134059535	1.0000000000	1.0000000000	0.9797487065	2023-12-30T18:31:09.707
80	0.0066962605	1.0000000000	1.0000000000	0.9805544162	2023-12-30T18:33:13.622
90	0.0039297747	1.0000000000	1.0000000000	0.9803067643	2023-12-30T18:35:18.056
100	0.0017464610	1.0000000000	1.0000000000	0.9799838015	2023-12-30T18:37:22.887
110	0.0010681739	1.0000000000	1.0000000000	0.9798244446	2023-12-30T18:39:27.416
120	0.0005982921	1.0000000000	1.0000000000	0.9798779230	2023-12-30T18:41:32.652
130	0.0003250053	1.0000000000	1.0000000000	0.9800447022	2023-12-30T18:43:39.938
140	0.0002051841	1.0000000000	1.0000000000	0.9800273901	2023-12-30T18:45:45.998
150	0.0001272589	1.0000000000	1.0000000000	0.9800254781	2023-12-30T18:47:52.694
eval AUC = 0.9797823186051685
eval Acc = 0.8926174496644296
# test=2, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0970776081	0.3422818792	0.5913275146	0.5772289670	2023-12-30T18:50:03.117
10	0.2145577520	0.9172259508	0.9870379380	[1m0.9778213673[0m	2023-12-30T18:52:10.059
20	0.1584387422	0.9446308725	0.9934382475	[1m0.9793424394[0m	2023-12-30T18:54:17.076
30	0.0955184102	0.9686800895	0.9981309267	[1m0.9827648808[0m	2023-12-30T18:56:22.716
40	0.0557909459	0.9854586130	0.9996282357	0.9825542770	2023-12-30T18:58:27.733
50	0.0354784168	0.9932885906	0.9999626568	0.9823730467	2023-12-30T19:00:32.867
60	0.0288588274	0.9949664430	0.9999966757	0.9826101158	2023-12-30T19:02:37.963
70	0.0109079145	1.0000000000	1.0000000000	0.9823820900	2023-12-30T19:04:43.149
80	0.0046409755	1.0000000000	1.0000000000	0.9826590434	2023-12-30T19:06:48.335
90	0.0022755726	1.0000000000	1.0000000000	0.9825360991	2023-12-30T19:08:53.729
100	0.0012913222	1.0000000000	1.0000000000	0.9824187953	2023-12-30T19:11:00.411
110	0.0007094124	1.0000000000	1.0000000000	0.9824089036	2023-12-30T19:13:07.588
120	0.0004171406	1.0000000000	1.0000000000	0.9824816163	2023-12-30T19:15:13.252
130	0.0002679648	1.0000000000	1.0000000000	0.9824338575	2023-12-30T19:17:18.902
eval AUC = 0.9751755424468461
eval Acc = 0.8800675675675675
# test=3, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0925943851	0.3228699552	0.6774208905	0.6714822249	2023-12-30T19:19:28.130
10	0.2372417748	0.9103139013	0.9846605218	[1m0.9815073112[0m	2023-12-30T19:21:33.916
20	0.1613544524	0.9489910314	0.9936975081	[1m0.9825123942[0m	2023-12-30T19:23:39.664
30	0.1308338046	0.9428251121	0.9976193828	[1m0.9837483798[0m	2023-12-30T19:25:45.569
40	0.0582808368	0.9876681614	0.9995081527	[1m0.9845382544[0m	2023-12-30T19:27:51.275
50	0.0330525711	0.9966367713	0.9999425137	0.9840509082	2023-12-30T19:29:57.185
60	0.0181377735	0.9988789238	1.0000000000	0.9838816580	2023-12-30T19:32:04.632
70	0.0098538715	1.0000000000	1.0000000000	0.9833483871	2023-12-30T19:34:11.554
80	0.0065720710	1.0000000000	1.0000000000	0.9831578643	2023-12-30T19:36:20.029
90	0.0032123730	1.0000000000	1.0000000000	0.9829650161	2023-12-30T19:38:28.305
100	0.0019177641	1.0000000000	1.0000000000	0.9831390667	2023-12-30T19:40:36.813
110	0.0010166937	1.0000000000	1.0000000000	0.9832642357	2023-12-30T19:42:44.263
120	0.0006015119	1.0000000000	1.0000000000	0.9829635907	2023-12-30T19:44:42.153
130	0.0003788765	1.0000000000	1.0000000000	0.9828219786	2023-12-30T19:46:40.888
140	0.0002183249	1.0000000000	1.0000000000	0.9825929373	2023-12-30T19:48:39.121
eval AUC = 0.9730097763802091
eval Acc = 0.889261744966443
# test=3, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0923522711	0.3828475336	0.6182901076	0.6405044469	2023-12-30T19:50:40.970
10	0.2286836356	0.9209641256	0.9845971621	[1m0.9778621298[0m	2023-12-30T19:52:39.872
20	0.1495078355	0.9523542601	0.9937827499	[1m0.9807553086[0m	2023-12-30T19:54:39.053
30	0.1107711941	0.9674887892	0.9974159052	0.9804747197	2023-12-30T19:56:38.726
40	0.1067625508	0.9540358744	0.9991671870	0.9804120511	2023-12-30T19:58:38.712
50	0.0391981006	0.9943946188	0.9999059705	[1m0.9807711435[0m	2023-12-30T20:00:39.064
60	0.0347402692	0.9966367713	0.9999971411	0.9794667616	2023-12-30T20:02:39.351
70	0.0123874126	1.0000000000	1.0000000000	0.9803785370	2023-12-30T20:04:40.039
80	0.0064867567	1.0000000000	1.0000000000	0.9804786149	2023-12-30T20:06:40.883
90	0.0031727066	1.0000000000	1.0000000000	0.9804304424	2023-12-30T20:08:41.927
100	0.0025087814	1.0000000000	1.0000000000	0.9802943366	2023-12-30T20:10:43.539
110	0.0010624593	1.0000000000	1.0000000000	0.9801414083	2023-12-30T20:12:45.467
120	0.0006180949	1.0000000000	1.0000000000	0.9800267294	2023-12-30T20:14:47.163
130	0.0003736471	1.0000000000	1.0000000000	0.9798303902	2023-12-30T20:16:49.030
140	0.0002176978	1.0000000000	1.0000000000	0.9796938534	2023-12-30T20:18:50.844
150	0.0001639289	1.0000000000	1.0000000000	0.9795695918	2023-12-30T20:20:52.787
eval AUC = 0.980631412811157
eval Acc = 0.9110738255033557
# test=3, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0971014500	0.3413677130	0.6482406528	0.6561507959	2023-12-30T20:22:58.930
10	0.2287444919	0.9164798206	0.9842679595	[1m0.9826355659[0m	2023-12-30T20:25:01.661
20	0.1912421882	0.9226457399	0.9921552917	[1m0.9828288700[0m	2023-12-30T20:27:04.611
30	0.1159854084	0.9630044843	0.9973915489	[1m0.9852390290[0m	2023-12-30T20:29:07.591
40	0.0643912852	0.9815022422	0.9993412695	[1m0.9854313700[0m	2023-12-30T20:31:10.997
50	0.0431008451	0.9899103139	0.9999244776	[1m0.9856127782[0m	2023-12-30T20:33:14.171
60	0.0181403141	0.9994394619	0.9999995235	0.9855516796	2023-12-30T20:35:17.506
70	0.0094618369	1.0000000000	1.0000000000	0.9853772099	2023-12-30T20:37:20.665
80	0.0069835642	1.0000000000	1.0000000000	0.9853789865	2023-12-30T20:39:24.010
90	0.0027028541	1.0000000000	1.0000000000	0.9852785751	2023-12-30T20:41:27.608
100	0.0015837556	1.0000000000	1.0000000000	0.9853787036	2023-12-30T20:43:31.404
110	0.0013853973	1.0000000000	1.0000000000	0.9850686711	2023-12-30T20:45:35.231
120	0.0008177166	1.0000000000	1.0000000000	0.9851534232	2023-12-30T20:47:39.102
130	0.0006327014	1.0000000000	1.0000000000	0.9852428586	2023-12-30T20:49:43.266
140	0.0003984615	1.0000000000	1.0000000000	0.9850360271	2023-12-30T20:51:47.322
150	0.0002667396	1.0000000000	1.0000000000	0.9851123444	2023-12-30T20:53:52.433
eval AUC = 0.9780073375342355
eval Acc = 0.9093959731543624
# test=3, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1164734364	0.3422818792	0.5300568134	0.5417281637	2023-12-30T20:56:01.012
10	0.2632348239	0.9010067114	0.9821890616	[1m0.9795168807[0m	2023-12-30T20:58:05.276
20	0.1660811603	0.9451901566	0.9920909044	[1m0.9822364829[0m	2023-12-30T21:00:10.526
30	0.1169685349	0.9642058166	0.9962680378	0.9821484591	2023-12-30T21:02:16.389
40	0.0845063180	0.9737136465	0.9985458454	0.9817098143	2023-12-30T21:04:21.424
50	0.0685989484	0.9809843400	0.9995922164	0.9794967837	2023-12-30T21:06:26.158
60	0.0324654132	0.9960850112	0.9999612214	0.9797665691	2023-12-30T21:08:32.041
70	0.0255190432	0.9983221477	1.0000000000	0.9786316585	2023-12-30T21:10:38.147
80	0.0109997680	0.9994407159	1.0000000000	0.9792130668	2023-12-30T21:12:43.406
90	0.0054491889	1.0000000000	1.0000000000	0.9783874089	2023-12-30T21:14:48.214
100	0.0033499869	1.0000000000	1.0000000000	0.9784051347	2023-12-30T21:16:53.527
110	0.0017699557	1.0000000000	1.0000000000	0.9782540511	2023-12-30T21:18:59.227
120	0.0014624649	1.0000000000	1.0000000000	0.9779317473	2023-12-30T21:21:06.818
eval AUC = 0.9739037822132558
eval Acc = 0.8817567567567568
# test=4, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0978426933	0.3834080717	0.6105667116	0.6019033462	2023-12-30T21:23:18.006
10	0.2118066996	0.9204035874	0.9882642289	[1m0.9748133718[0m	2023-12-30T21:25:25.446
20	0.1300100684	0.9495515695	0.9959179946	[1m0.9755053071[0m	2023-12-30T21:27:32.745
