Thu Sep  1 16:52:46 AEST 2022
# hypergraphs = ["../Model_1/H/", "../Model_2/H/", "../Model_3/H/"]
# load_model = nothing
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# nFilters2 = 32
# pre = nothing
# pred = pred_123.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_1/nodeCents/", "../Model_2/nodeCents/", "../Model_3/nodeCents/"]
# cv = true
# epochs = 500
# save_model = model_123.bson
# sample = nothing
# Reading label 1 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 2 from 977 hypergraphs matching:
# ../Model_2/H/
# ../Model_2/nodeCents/
# Reading label 3 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
# num label 1 = 989
# num label 2 = 977
# num label 3 = 970
# test=1, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1042683125	0.3323863636	0.3934013323	0.4005085613	2022-09-01T16:55:10.317
10	0.4263239801	0.8113636364	0.9432576397	[1m0.9176982131[0m	2022-09-01T17:03:28.641
20	0.3109274209	0.8727272727	0.9671558498	[1m0.9279720652[0m	2022-09-01T17:04:56.178
30	0.2603552938	0.8937500000	0.9825641207	[1m0.9303049695[0m	2022-09-01T17:06:24.295
40	0.1796234548	0.9369318182	0.9929111611	[1m0.9337242107[0m	2022-09-01T17:07:52.655
50	0.1374426782	0.9551136364	0.9962208953	0.9315906163	2022-09-01T17:09:21.160
60	0.0872255638	0.9880681818	0.9994515915	0.9333066886	2022-09-01T17:10:50.394
70	0.0538821258	0.9965909091	0.9999311713	0.9321548677	2022-09-01T17:12:19.959
80	0.0360536091	0.9971590909	0.9999975753	0.9313277812	2022-09-01T17:13:50.356
90	0.0207665637	1.0000000000	1.0000000000	0.9308969805	2022-09-01T17:15:21.272
100	0.0221236441	1.0000000000	1.0000000000	0.9290240601	2022-09-01T17:16:52.866
110	0.0074821147	1.0000000000	1.0000000000	0.9298816668	2022-09-01T17:18:24.926
120	0.0042443410	1.0000000000	1.0000000000	0.9296605220	2022-09-01T17:19:55.725
130	0.0026363069	1.0000000000	1.0000000000	0.9299398819	2022-09-01T17:21:28.551
140	0.0016984204	1.0000000000	1.0000000000	0.9296954102	2022-09-01T17:23:02.282
eval AUC = 0.9309870173100229
eval Acc = 0.8112244897959183
# test=1, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0944792032	0.3329545455	0.6693172580	0.6555358722	2022-09-01T17:24:37.019
10	0.4749148488	0.7943181818	0.9479398144	[1m0.9220552046[0m	2022-09-01T17:26:10.436
20	0.3016123474	0.8789772727	0.9720464005	[1m0.9297123453[0m	2022-09-01T17:27:46.712
30	0.2226434052	0.9187500000	0.9865709973	[1m0.9319584736[0m	2022-09-01T17:29:22.542
40	0.1596330255	0.9545454545	0.9950849185	[1m0.9334129419[0m	2022-09-01T17:30:57.200
50	0.1269919723	0.9590909091	0.9985956352	[1m0.9347615865[0m	2022-09-01T17:32:30.363
60	0.0989403054	0.9812500000	0.9997920029	0.9333296344	2022-09-01T17:34:02.927
70	0.0596264713	0.9937500000	0.9999849740	0.9346246370	2022-09-01T17:35:35.696
80	0.0287469607	0.9988636364	1.0000000000	[1m0.9349764808[0m	2022-09-01T17:37:08.458
90	0.0162889715	1.0000000000	1.0000000000	0.9338132279	2022-09-01T17:38:41.068
100	0.0097461669	1.0000000000	1.0000000000	[1m0.9349918467[0m	2022-09-01T17:40:13.845
110	0.0075591714	1.0000000000	1.0000000000	0.9345998008	2022-09-01T17:41:46.749
120	0.0040830038	1.0000000000	1.0000000000	0.9342915725	2022-09-01T17:43:20.235
130	0.0036802513	1.0000000000	1.0000000000	0.9337900537	2022-09-01T17:44:53.733
140	0.0020687571	1.0000000000	1.0000000000	0.9338449011	2022-09-01T17:46:27.547
150	0.0015773990	1.0000000000	1.0000000000	0.9336136561	2022-09-01T17:48:01.593
160	0.0012838435	1.0000000000	1.0000000000	0.9335074685	2022-09-01T17:49:35.622
170	0.0007809399	1.0000000000	1.0000000000	0.9335595587	2022-09-01T17:51:11.629
180	0.0005845063	1.0000000000	1.0000000000	0.9329013001	2022-09-01T17:52:48.393
190	0.0003729379	1.0000000000	1.0000000000	0.9331269526	2022-09-01T17:54:25.397
200	0.0002876943	1.0000000000	1.0000000000	0.9324462145	2022-09-01T17:56:02.295
eval AUC = 0.9409534082375969
eval Acc = 0.8231292517006803
# test=1, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1357022524	0.3369318182	0.3150832085	0.3243322391	2022-09-01T17:57:41.826
10	0.4328406453	0.8159090909	0.9457067435	[1m0.9193920712[0m	2022-09-01T17:59:19.044
20	0.3195591271	0.8710227273	0.9695458021	[1m0.9243244714[0m	2022-09-01T18:00:56.476
30	0.2466986626	0.9017045455	0.9840071966	[1m0.9261411935[0m	2022-09-01T18:02:33.991
40	0.2047750652	0.9306818182	0.9910745478	0.9257587640	2022-09-01T18:04:11.642
50	0.1268311739	0.9647727273	0.9971353132	[1m0.9284640432[0m	2022-09-01T18:05:49.364
60	0.1015695930	0.9818181818	0.9992722934	0.9272796755	2022-09-01T18:07:27.215
70	0.0657857582	0.9937500000	0.9998140535	0.9270792926	2022-09-01T18:09:05.450
80	0.0364179425	0.9971590909	0.9999732832	[1m0.9284816196[0m	2022-09-01T18:10:43.496
90	0.0255672708	0.9988636364	1.0000000000	0.9270594779	2022-09-01T18:12:21.822
100	0.0177346487	1.0000000000	1.0000000000	0.9267050554	2022-09-01T18:14:00.554
110	0.0097379060	1.0000000000	1.0000000000	0.9261685393	2022-09-01T18:15:39.475
120	0.0415312275	0.9965909091	1.0000000000	0.9242138365	2022-09-01T18:17:18.454
130	0.0039341035	1.0000000000	1.0000000000	0.9255277434	2022-09-01T18:18:57.633
140	0.0099397106	1.0000000000	1.0000000000	0.9236743752	2022-09-01T18:20:36.987
150	0.0020486182	1.0000000000	1.0000000000	0.9260173058	2022-09-01T18:22:16.825
160	0.0014801070	1.0000000000	1.0000000000	0.9252152567	2022-09-01T18:23:55.882
170	0.0010103458	1.0000000000	1.0000000000	0.9251686028	2022-09-01T18:25:34.607
180	0.0007694030	1.0000000000	1.0000000000	0.9246697752	2022-09-01T18:27:13.809
eval AUC = 0.9223281083844529
eval Acc = 0.7840136054421769
# test=1, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1062802076	0.3299319728	0.7098984058	0.6949189855	2022-09-01T18:28:56.081
10	0.4647686183	0.8038548753	0.9425542927	[1m0.9174131890[0m	2022-09-01T18:30:36.641
20	0.3140689135	0.8798185941	0.9682662713	[1m0.9257596010[0m	2022-09-01T18:32:17.366
30	0.2402247190	0.9104308390	0.9839922461	[1m0.9278844178[0m	2022-09-01T18:33:57.881
40	0.1820867956	0.9467120181	0.9926262441	[1m0.9284204478[0m	2022-09-01T18:35:38.409
50	0.1387507468	0.9535147392	0.9971041451	0.9272046716	2022-09-01T18:37:19.143
60	0.0892374888	0.9875283447	0.9992847134	0.9249991641	2022-09-01T18:38:59.829
70	0.0547833443	0.9943310658	0.9999348187	0.9229520346	2022-09-01T18:40:40.249
80	0.0331116989	0.9994331066	0.9999995155	0.9221855535	2022-09-01T18:42:20.812
90	0.0242366400	1.0000000000	1.0000000000	0.9203481739	2022-09-01T18:44:01.164
100	0.0131260427	0.9994331066	1.0000000000	0.9215874816	2022-09-01T18:45:41.567
110	0.0070710592	1.0000000000	1.0000000000	0.9212744790	2022-09-01T18:47:21.871
120	0.0043725902	1.0000000000	1.0000000000	0.9206460307	2022-09-01T18:49:02.397
130	0.0022314780	1.0000000000	1.0000000000	0.9196502155	2022-09-01T18:50:42.817
140	0.0019089420	1.0000000000	1.0000000000	0.9199049803	2022-09-01T18:52:24.134
eval AUC = 0.9378041266785347
eval Acc = 0.8458904109589042
# test=2, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0970038176	0.3164772727	0.5752459705	0.6105535117	2022-09-01T18:54:07.847
10	0.4291813672	0.8170454545	0.9399896900	[1m0.9104442762[0m	2022-09-01T18:55:47.635
20	0.3162738085	0.8727272727	0.9677208577	[1m0.9256221266[0m	2022-09-01T18:57:27.243
30	0.2581278682	0.8954545455	0.9795964943	0.9254115725	2022-09-01T18:59:06.741
40	0.2190571874	0.9107954545	0.9876073441	[1m0.9258170722[0m	2022-09-01T19:00:46.590
50	0.1537372917	0.9613636364	0.9960376059	[1m0.9297244999[0m	2022-09-01T19:02:26.889
60	0.0964083448	0.9812500000	0.9988834963	[1m0.9308126920[0m	2022-09-01T19:04:06.619
70	0.0625976399	0.9937500000	0.9997012937	[1m0.9314720390[0m	2022-09-01T19:05:46.305
80	0.0477646105	0.9977272727	0.9999133497	0.9293656850	2022-09-01T19:07:26.049
90	0.0268678237	0.9994318182	0.9999917757	0.9307837675	2022-09-01T19:09:05.843
100	0.0198342018	1.0000000000	1.0000000000	0.9291062459	2022-09-01T19:10:46.123
110	0.0096477084	1.0000000000	1.0000000000	0.9301030586	2022-09-01T19:12:26.321
120	0.0068592452	1.0000000000	1.0000000000	0.9288056040	2022-09-01T19:14:06.541
130	0.0037688776	1.0000000000	1.0000000000	0.9295474451	2022-09-01T19:15:46.931
140	0.0030711778	1.0000000000	1.0000000000	0.9294565222	2022-09-01T19:17:27.401
150	0.0014124645	1.0000000000	1.0000000000	0.9293253405	2022-09-01T19:19:07.405
160	0.0012854297	1.0000000000	1.0000000000	0.9289552399	2022-09-01T19:20:47.853
170	0.0006504517	1.0000000000	1.0000000000	0.9293405683	2022-09-01T19:22:28.127
eval AUC = 0.9288824643426196
eval Acc = 0.7908163265306123
