Sat Aug 20 20:44:28 AEST 2022
# hypergraphs = ["../Model_1/H/", "../Model_3/H/", "../Model_4/H/"]
# load_model = nothing
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# nFilters2 = 32
# pre = nothing
# pred = pred_134.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_1/nodeCents/", "../Model_3/nodeCents/", "../Model_4/nodeCents/"]
# cv = true
# epochs = 500
# save_model = model_134.bson
# sample = nothing
# Reading label 1 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 2 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
# Reading label 3 from 1017 hypergraphs matching:
# ../Model_4/H/
# ../Model_4/nodeCents/
# num label 1 = 989
# num label 2 = 970
# num label 3 = 1017
# test=1, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1041592360	0.2410313901	0.4120123443	0.4066821039	2022-08-20T20:47:02.784
10	0.2157326043	0.9181614350	0.9865683620	[1m0.9720453585[0m	2022-08-20T20:55:32.774
20	0.1700302362	0.9405829596	0.9937274911	[1m0.9746249737[0m	2022-08-20T20:57:06.603
30	0.0966207236	0.9669282511	0.9974626868	[1m0.9780126286[0m	2022-08-20T20:58:42.349
40	0.0535851493	0.9910313901	0.9993573566	0.9779317638	2022-08-20T21:00:21.436
50	0.0442753024	0.9899103139	0.9997484718	[1m0.9795081027[0m	2022-08-20T21:02:01.312
60	0.0260479432	0.9977578475	0.9999995235	[1m0.9795184872[0m	2022-08-20T21:03:42.054
70	0.0099741844	1.0000000000	1.0000000000	0.9792278436	2022-08-20T21:05:23.957
80	0.0061532338	1.0000000000	1.0000000000	0.9786824288	2022-08-20T21:07:06.243
90	0.0023964229	1.0000000000	1.0000000000	0.9790473912	2022-08-20T21:08:48.183
100	0.0016713106	1.0000000000	1.0000000000	0.9785601474	2022-08-20T21:10:29.895
110	0.0007404646	1.0000000000	1.0000000000	0.9790858994	2022-08-20T21:12:11.740
120	0.0006213794	1.0000000000	1.0000000000	0.9792554565	2022-08-20T21:13:51.635
130	0.0002341888	1.0000000000	1.0000000000	0.9790457516	2022-08-20T21:15:30.679
140	0.0001645602	1.0000000000	1.0000000000	0.9790896336	2022-08-20T21:17:09.984
150	0.0000914018	1.0000000000	1.0000000000	0.9789734343	2022-08-20T21:18:49.333
160	0.0000477498	1.0000000000	1.0000000000	0.9792307749	2022-08-20T21:20:29.001
eval AUC = 0.986780099822956
eval Acc = 0.9177852348993288
# test=1, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1048605442	0.3262331839	0.5799176232	0.5747356122	2022-08-20T21:22:11.840
10	0.2225863338	0.9147982063	0.9867593878	[1m0.9665781388[0m	2022-08-20T21:23:51.961
20	0.1467861980	0.9461883408	0.9934097330	[1m0.9712333793[0m	2022-08-20T21:25:32.118
30	0.0921762288	0.9725336323	0.9973840655	[1m0.9757782236[0m	2022-08-20T21:27:12.720
40	0.0742810518	0.9815022422	0.9989965268	0.9748419371	2022-08-20T21:28:53.256
50	0.0353747532	0.9949551570	0.9998671462	[1m0.9778968858[0m	2022-08-20T21:30:34.222
60	0.0200832561	0.9971973094	0.9999934571	0.9771725071	2022-08-20T21:32:15.139
70	0.0088580288	1.0000000000	1.0000000000	0.9768614220	2022-08-20T21:33:56.290
80	0.0051047844	1.0000000000	1.0000000000	0.9773553597	2022-08-20T21:35:37.544
90	0.0025791856	1.0000000000	1.0000000000	0.9771123591	2022-08-20T21:37:19.026
100	0.0021215447	1.0000000000	1.0000000000	0.9769025377	2022-08-20T21:39:00.678
110	0.0009684381	1.0000000000	1.0000000000	0.9771932971	2022-08-20T21:40:42.265
120	0.0006004203	1.0000000000	1.0000000000	0.9768616673	2022-08-20T21:42:24.421
130	0.0003449380	1.0000000000	1.0000000000	0.9769615355	2022-08-20T21:44:06.640
140	0.0002003279	1.0000000000	1.0000000000	0.9768282363	2022-08-20T21:45:48.853
150	0.0001543165	1.0000000000	1.0000000000	0.9765722186	2022-08-20T21:47:31.166
eval AUC = 0.9821781250890508
eval Acc = 0.9161073825503355
# test=1, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0965498686	0.3262331839	0.7192798383	0.6943754189	2022-08-20T21:49:16.621
10	0.1914938539	0.9310538117	0.9894105280	[1m0.9697521995[0m	2022-08-20T21:50:59.476
20	0.1313688755	0.9540358744	0.9957962429	[1m0.9745852496[0m	2022-08-20T21:52:42.493
30	0.1126923934	0.9579596413	0.9985557235	[1m0.9761834607[0m	2022-08-20T21:54:25.782
40	0.0402364843	0.9932735426	0.9997609182	[1m0.9774787241[0m	2022-08-20T21:56:09.041
50	0.0221522059	0.9983183857	0.9999900089	[1m0.9778605817[0m	2022-08-20T21:57:52.182
60	0.0111902608	0.9994394619	0.9999995235	0.9774432641	2022-08-20T21:59:35.750
70	0.0052973866	1.0000000000	1.0000000000	0.9773178716	2022-08-20T22:01:19.432
80	0.0029414373	1.0000000000	1.0000000000	0.9771202333	2022-08-20T22:03:03.121
90	0.0016614615	1.0000000000	1.0000000000	0.9770434472	2022-08-20T22:04:46.713
100	0.0010128868	1.0000000000	1.0000000000	0.9772067373	2022-08-20T22:06:30.591
110	0.0005052358	1.0000000000	1.0000000000	0.9769871045	2022-08-20T22:08:14.434
120	0.0002940449	1.0000000000	1.0000000000	0.9769937698	2022-08-20T22:09:58.373
130	0.0001924897	1.0000000000	1.0000000000	0.9768029930	2022-08-20T22:11:42.535
