	Autocorrelation	Lag	Model	Name
0	1.0	0	Model 0	2_7
1	0.8989979221279375	1	Model 0	2_7
2	0.8464399796327029	2	Model 0	2_7
3	0.8288767894826821	3	Model 0	2_7
4	0.808723456502305	4	Model 0	2_7
5	0.8083678834804565	5	Model 0	2_7
6	0.7950954647114141	6	Model 0	2_7
7	0.7701384756666689	7	Model 0	2_7
8	0.7369688583858522	8	Model 0	2_7
9	0.7307086426135507	9	Model 0	2_7
0	0.9999999999999998	0	Model 0	2_17
1	0.9343943680016729	1	Model 0	2_17
2	0.9134012567851579	2	Model 0	2_17
3	0.9011415440269919	3	Model 0	2_17
4	0.8960528349042695	4	Model 0	2_17
5	0.8872231613907489	5	Model 0	2_17
6	0.8789962271864259	6	Model 0	2_17
7	0.8829685011343399	7	Model 0	2_17
8	0.88504442306594	8	Model 0	2_17
9	0.8858527133787222	9	Model 0	2_17
0	1.0	0	Model 0	2_19
1	0.8969607646396544	1	Model 0	2_19
2	0.8701614152785744	2	Model 0	2_19
3	0.8567153399049482	3	Model 0	2_19
4	0.8383339400276031	4	Model 0	2_19
5	0.8316519395979538	5	Model 0	2_19
6	0.836000453932281	6	Model 0	2_19
7	0.8136118189941759	7	Model 0	2_19
8	0.817728120758841	8	Model 0	2_19
9	0.8327817611377252	9	Model 0	2_19
0	0.9999999999999998	0	Model 0	2_21
1	0.8436688772367503	1	Model 0	2_21
2	0.8180695072086523	2	Model 0	2_21
3	0.7985247777848219	3	Model 0	2_21
4	0.785452230438475	4	Model 0	2_21
5	0.7786598674646048	5	Model 0	2_21
6	0.7651250935761943	6	Model 0	2_21
7	0.7550509614620227	7	Model 0	2_21
8	0.7479964161576025	8	Model 0	2_21
9	0.7641143651957474	9	Model 0	2_21
0	0.9999999999999998	0	Model 0	2_23
1	0.9093631172394585	1	Model 0	2_23
2	0.8693263287429405	2	Model 0	2_23
3	0.8436488164111327	3	Model 0	2_23
4	0.8313611356232272	4	Model 0	2_23
5	0.8188063525528178	5	Model 0	2_23
6	0.8251349587124969	6	Model 0	2_23
7	0.8279925870654596	7	Model 0	2_23
8	0.813918213159672	8	Model 0	2_23
9	0.800896074086893	9	Model 0	2_23
0	1.0	0	Model 0	2_29
1	0.9419732533685847	1	Model 0	2_29
2	0.9041939949533003	2	Model 0	2_29
3	0.8792392047907691	3	Model 0	2_29
4	0.8608742514498442	4	Model 0	2_29
5	0.8543135604495499	5	Model 0	2_29
6	0.843630982143666	6	Model 0	2_29
7	0.8293320636937529	7	Model 0	2_29
8	0.8278942830701947	8	Model 0	2_29
9	0.82551334723322	9	Model 0	2_29
0	1.0	0	Model 0	2_37
1	0.8814713808680763	1	Model 0	2_37
2	0.8458890960708004	2	Model 0	2_37
3	0.8490007731084357	3	Model 0	2_37
4	0.8347390305275743	4	Model 0	2_37
