	Label	ROG	Name	Weight	Life Span	Model
0	True	0.15150018443801364	2_7	2.083333333333333	3	Model 0
5	True	1.7107541932014618	2_7	36.30448179271709	57	Model 0
8	True	0.7071460356676388	2_7	6.295238095238094	8	Model 0
14	True	0.5471235427000883	2_7	1.6666666666666665	2	Model 0
22	True	0.5252686597535253	2_7	4.486666666666666	10	Model 0
25	True	0.3242922581134316	2_7	3.1966666666666668	7	Model 0
34	True	1.6540823772012576	2_7	31.79744236156001	53	Model 0
38	True	1.585433678445249	2_7	24.33285714285714	61	Model 0
39	True	1.073073413690582	2_7	11.390848954966602	69	Model 0
77	True	1.3649388090022692	2_7	22.233333333333334	40	Model 0
78	True	1.352633247566877	2_7	23.144444444444446	40	Model 0
16	True	2.0717445508645485	2_17	32.999058756493234	52	Model 0
17	True	0.532126559249736	2_17	3.2607479122185	8	Model 0
29	True	0.7620390688283685	2_17	21.70622495151907	100	Model 0
34	True	1.277747267576423	2_17	55.68313545931193	159	Model 0
36	True	1.5015166817779955	2_17	27.219884004884012	158	Model 0
43	True	0.4152527729825201	2_17	3.955250305250305	63	Model 0
46	True	0.7887625384844499	2_17	14.595952380952383	100	Model 0
47	True	0.4512750588506807	2_17	19.661094232564817	74	Model 0
22	True	2.508892845131236	2_19	9.461962188789775	15	Model 0
25	True	6.208154723237768	2_19	43.899371144543565	56	Model 0
37	True	1.5836758004114688	2_19	1.8666666666666671	2	Model 0
41	True	3.5469068962411585	2_19	13.380114942528733	17	Model 0
51	True	6.8421761306149165	2_19	24.481269841269842	99	Model 0
59	True	2.345665658732373	2_19	6.692698412698416	16	Model 0
62	True	4.108428113965354	2_19	39.34274989274989	48	Model 0
79	True	5.408250124802221	2_19	27.38928571428571	39	Model 0
1	True	1.875135160975313	2_21	2.5858585858585856	88	Model 0
2	True	3.952069836095027	2_21	60.410540296305	157	Model 0
4	True	7.0784623339619674	2_21	14.2254107004107	75	Model 0
13	True	3.63682917829942	2_21	14.30543508778803	62	Model 0
18	True	5.630302652287723	2_21	24.33769903299315	56	Model 0
44	True	1.3223910922755342	2_21	4.011904761904761	6	Model 0
45	True	0.771875004750531	2_21	1.2001831501831501	10	Model 0
51	True	0.6325178086957874	2_21	1.2214285714285715	46	Model 0
64	True	1.8899054287545611	2_21	4.153333333333333	38	Model 0
81	True	2.3271434140346763	2_21	30.948627450980396	48	Model 0
0	True	0.6533084345856845	2_23	5.766666666666667	18	Model 0
3	True	0.6554742018473012	2_23	10.749485757193668	15	Model 0
30	True	1.6063599240001067	2_23	22.636692420526586	30	Model 0
44	True	0.6554284637816417	2_23	2.8918974358974365	22	Model 0
59	True	0.7194759486964163	2_23	3.0481938661451853	4	Model 0
60	True	1.2573934346606506	2_23	26.58253877329772	90	Model 0
61	True	2.123695720387182	2_23	17.565552698657438	39	Model 0
62	True	0.5740015012595484	2_23	11.564347657542797	42	Model 0
76	True	0.7510893315590641	2_23	60.18351648351648	84	Model 0
107	True	0.2569914169516033	2_23	2.833333333333335	3	Model 0
4	True	1.5338433475678948	2_29	8.583333333333334	10	Model 0
16	True	4.773207133572679	2_29	21.778873947839465	23	Model 0
21	True	4.380367591098055	2_29	53.369719887955185	85	Model 0
22	True	3.9335656151750977	2_29	19.68952380952381	25	Model 0
24	True	0.6232831128442932	2_29	3.1485714285714286	4	Model 0
33	True	0.34890716204488403	2_29	3.21218487394958	13	Model 0
38	True	1.179198909892748	2_29	8.385714285714286	9	Model 0
52	True	0.6060962591909376	2_29	1.438095238095239	3	Model 0
56	True	2.3419330756295365	2_29	49.96568294450647	58	Model 0
2	True	0.1326210800620149	2_37	1.6666666666666665	16	Model 0
14	True	0.5069001985856728	2_37	15.525548752199672	55	Model 0
16	True	0.2476757048015039	2_37	1.5801904761904764	5	Model 0
24	True	0.24232540770922606	2_37	6.078033506000625	31	Model 0
25	True	0.09490925244501389	2_37	5.139774436090226	29	Model 0
38	True	0.11233874039218995	2_37	1.9833333333333338	18	Model 0
100	True	0.10469273864584323	2_37	12.593321453321453	142	Model 0
103	True	0.18617563947886007	2_37	18.470476190476187	136	Model 0
108	True	0.16490847080106735	2_37	15.482857142857142	120	Model 0
109	True	0.1266002485383475	2_37	29.74357670332084	144	Model 0
114	True	0.1430201036857952	2_37	20.54111264103097	142	Model 0
118	True	0.16572799710288014	2_37	9.327086475615888	124	Model 0
132	True	0.13265985241272502	2_37	7.421904761904763	139	Model 0
139	True	0.09024713227711562	2_37	7.654360410830995	139	Model 0
2	True	3.3712371352351083	2_40	56.4697562981701	194	Model 0
4	True	0.3990016791507946	2_40	2.9000000000000004	4	Model 0
