# test=1, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0986201763	0.3281596452	0.4224904553	0.4202750882	2024-06-28T01:27:58.550
10	1.0983012915	0.3375831486	0.7445167926	[1m0.7410817777[0m	2024-06-28T01:28:05.521
20	1.0980294943	0.3375831486	0.7443737273	0.7409633641	2024-06-28T01:28:06.163
30	1.0977516174	0.3375831486	0.7443181958	0.7409443466	2024-06-28T01:28:06.802
40	1.0974864960	0.3375831486	0.7442892514	0.7409257847	2024-06-28T01:28:07.460
50	1.0972146988	0.3375831486	0.7442923669	0.7409153318	2024-06-28T01:28:08.099
60	1.0969462395	0.3375831486	0.7442777936	0.7409234620	2024-06-28T01:28:08.741
70	1.0966852903	0.3375831486	0.7442798372	0.7409294831	2024-06-28T01:28:09.410
80	1.0964095592	0.3375831486	0.7442823271	0.7409252661	2024-06-28T01:28:10.052
90	1.0961431265	0.3375831486	0.7442804709	0.7409314704	2024-06-28T01:28:10.692
100	1.0958778858	0.3375831486	0.7442857299	0.7409232198	2024-06-28T01:28:11.357
110	1.0956046581	0.3375831486	0.7442827265	0.7409211572	2024-06-28T01:28:12
eval AUC = 0.732454839842878
eval Acc = 0.3383084577114428
# test=1, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0986096859	0.3375831486	0.4442135655	0.4345628597	2024-06-28T01:28:12.564
10	1.0982866287	0.3375831486	0.7388330792	[1m0.7424813375[0m	2024-06-28T01:28:13.175
20	1.0980186462	0.3375831486	0.7379849577	0.7415652544	2024-06-28T01:28:13.830
30	1.0977554321	0.3375831486	0.7377448818	0.7413382282	2024-06-28T01:28:14.466
40	1.0975021124	0.3375831486	0.7376540550	0.7411937171	2024-06-28T01:28:15.108
50	1.0972222090	0.3375831486	0.7375757047	0.7411070562	2024-06-28T01:28:15.780
60	1.0969634056	0.3375831486	0.7375404456	0.7410843519	2024-06-28T01:28:16.431
70	1.0966959000	0.3375831486	0.7374897724	0.7410451457	2024-06-28T01:28:17.079
80	1.0964254141	0.3375831486	0.7374757206	0.7410080022	2024-06-28T01:28:17.755
90	1.0961605310	0.3375831486	0.7374598218	0.7409791250	2024-06-28T01:28:18.404
100	1.0959041119	0.3375831486	0.7374494417	0.7409708128	2024-06-28T01:28:19.056
110	1.0956455469	0.3375831486	0.7374448277	0.7409501862	2024-06-28T01:28:19.731
eval AUC = 0.7554958892798712
eval Acc = 0.3383084577114428
# test=1, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0986485481	0.3287139690	0.3419862293	0.3392154285	2024-06-28T01:28:20.270
10	1.0983304977	0.3375831486	0.7415489696	[1m0.7408008282[0m	2024-06-28T01:28:20.888
20	1.0980613232	0.3375831486	0.7415306070	[1m0.7408991043[0m	2024-06-28T01:28:21.556
30	1.0977928638	0.3375831486	0.7415213976	[1m0.7409030353[0m	2024-06-28T01:28:22.197
40	1.0975319147	0.3375831486	0.7415339436	0.7409007126	2024-06-28T01:28:22.841
50	1.0972647667	0.3375831486	0.7415262546	0.7409005758	2024-06-28T01:28:23.493
60	1.0970010757	0.3375831486	0.7415317124	0.7409026241	2024-06-28T01:28:24.167
70	1.0967377424	0.3375831486	0.7415261161	0.7408943577	2024-06-28T01:28:24.811
80	1.0964740515	0.3375831486	0.7415212731	0.7408881547	2024-06-28T01:28:25.461
90	1.0962201357	0.3375831486	0.7415270173	0.7408861071	2024-06-28T01:28:26.136
100	1.0959490538	0.3375831486	0.7415173321	0.7408861071	2024-06-28T01:28:26.780
110	1.0957019329	0.3680709534	0.7415200571	0.7408923265	2024-06-28T01:28:27.427
120	1.0954297781	0.3375831486	0.7415221283	0.7408943741	2024-06-28T01:28:28.104
130	1.0951884985	0.3375831486	0.7415299341	0.7409005019	2024-06-28T01:28:28.757
140	1.0949075222	0.3375831486	0.7415232506	[1m0.7409046272[0m	2024-06-28T01:28:29.408
150	1.0946472883	0.3375831486	0.7415230198	[1m0.7409087997[0m	2024-06-28T01:28:30.085
