,Noise,AMI score,Name,Length
0,smooth,0.6075510612583468,Curve 0,Length 100
1,0.05,0.8071218047972064,Curve 0,Length 100
2,0.1,0.5588453145745303,Curve 0,Length 100
3,0.15,0.5759190866170614,Curve 0,Length 100
4,0.2,0.4333638984592354,Curve 0,Length 100
5,smooth,0.557768619216274,Curve 1,Length 100
6,0.05,0.709378359180467,Curve 1,Length 100
7,0.1,0.7451870477566365,Curve 1,Length 100
8,0.15,0.5690746981043928,Curve 1,Length 100
9,0.2,0.4085826022101673,Curve 1,Length 100
10,smooth,0.4372193752656453,Curve 2,Length 100
11,0.05,0.7440821803789712,Curve 2,Length 100
12,0.1,0.6045897846887561,Curve 2,Length 100
13,0.15,0.4384186298892438,Curve 2,Length 100
14,0.2,0.5614054329050355,Curve 2,Length 100
15,smooth,0.5858371435124226,Curve 3,Length 100
16,0.05,0.7433891304478657,Curve 3,Length 100
17,0.1,0.7778084139641194,Curve 3,Length 100
18,0.15,0.5654564435888214,Curve 3,Length 100
19,0.2,0.6503049886735899,Curve 3,Length 100
20,smooth,0.5260063989667172,Curve 4,Length 100
21,0.05,0.7006655197477851,Curve 4,Length 100
22,0.1,0.5733542690891693,Curve 4,Length 100
23,0.15,0.5326029681281447,Curve 4,Length 100
24,0.2,0.5213761112365074,Curve 4,Length 100
25,smooth,0.4835132000669784,Curve 5,Length 100
26,0.05,0.6408618133961012,Curve 5,Length 100
27,0.1,0.659170326064758,Curve 5,Length 100
28,0.15,0.6451046036862897,Curve 5,Length 100
29,0.2,0.4235016180428916,Curve 5,Length 100
30,smooth,0.2924548108941708,Curve 6,Length 100
31,0.05,0.5841526200678403,Curve 6,Length 100
32,0.1,0.583475181993928,Curve 6,Length 100
33,0.15,0.6001433070785069,Curve 6,Length 100
34,0.2,0.5425329406511606,Curve 6,Length 100
35,smooth,0.5965764128949268,Curve 7,Length 100
36,0.05,0.8750377640190835,Curve 7,Length 100
37,0.1,0.7042365275945223,Curve 7,Length 100
38,0.15,0.5243660666947288,Curve 7,Length 100
39,0.2,0.5787938690612028,Curve 7,Length 100
40,smooth,0.4503137330460086,Curve 8,Length 100
41,0.05,0.664269170160048,Curve 8,Length 100
42,0.1,0.543132925767659,Curve 8,Length 100
43,0.15,0.6306321757508566,Curve 8,Length 100
44,0.2,0.4277265822982063,Curve 8,Length 100
45,smooth,0.6689002917478586,Curve 9,Length 100
46,0.05,0.6611832177153444,Curve 9,Length 100
47,0.1,0.4779571142437857,Curve 9,Length 100
48,0.15,0.4902063470919333,Curve 9,Length 100
49,0.2,0.5138706984100525,Curve 9,Length 100
50,smooth,0.3106237947225224,Curve 10,Length 100
51,0.05,0.4530792694387489,Curve 10,Length 100
52,0.1,0.3676729104426134,Curve 10,Length 100
53,0.15,0.3996566292700441,Curve 10,Length 100
54,0.2,0.2302445186172547,Curve 10,Length 100
55,smooth,0.4224124925167489,Curve 11,Length 100
56,0.05,0.6399190438479867,Curve 11,Length 100
57,0.1,0.4776696437417605,Curve 11,Length 100
58,0.15,0.4495375262794597,Curve 11,Length 100
59,0.2,0.4721831997445654,Curve 11,Length 100
60,smooth,0.4970713090459441,Curve 12,Length 100
61,0.05,0.773015031492571,Curve 12,Length 100
62,0.1,0.5740140195603096,Curve 12,Length 100
63,0.15,0.5335919769629347,Curve 12,Length 100
64,0.2,0.4294507588802667,Curve 12,Length 100
65,smooth,0.5902858697152223,Curve 13,Length 100
66,0.05,0.9155070014158554,Curve 13,Length 100
67,0.1,0.7511909034296426,Curve 13,Length 100
68,0.15,0.6986432148872508,Curve 13,Length 100
69,0.2,0.5933576686443287,Curve 13,Length 100
70,smooth,0.5859395852967086,Curve 14,Length 100
71,0.05,0.8599241994568546,Curve 14,Length 100
72,0.1,0.8620783364791967,Curve 14,Length 100
73,0.15,0.5996719753945141,Curve 14,Length 100
74,0.2,0.5558256738745285,Curve 14,Length 100
75,smooth,0.4968289522718966,Curve 15,Length 100
76,0.05,0.4045649261259371,Curve 15,Length 100
77,0.1,0.5254266505568306,Curve 15,Length 100
78,0.15,0.3577184470914566,Curve 15,Length 100
79,0.2,0.333752230344613,Curve 15,Length 100
80,smooth,0.511209520902562,Curve 16,Length 100
81,0.05,0.7805747550826811,Curve 16,Length 100
82,0.1,0.6138567724538004,Curve 16,Length 100
83,0.15,0.5798804904089891,Curve 16,Length 100
84,0.2,0.3766772279691934,Curve 16,Length 100
85,smooth,0.4770161185650542,Curve 17,Length 100
86,0.05,0.699595815128963,Curve 17,Length 100
87,0.1,0.4888291032153554,Curve 17,Length 100
88,0.15,0.4280469512588682,Curve 17,Length 100
89,0.2,0.401343560040956,Curve 17,Length 100
90,smooth,0.4281730079028124,Curve 18,Length 100
91,0.05,0.4863426915103184,Curve 18,Length 100
92,0.1,0.5466101771068791,Curve 18,Length 100
93,0.15,0.4476494949646287,Curve 18,Length 100
94,0.2,0.256658511859614,Curve 18,Length 100
95,smooth,0.6272398441037655,Curve 19,Length 100
96,0.05,0.6678774386855386,Curve 19,Length 100
97,0.1,0.4656320884280167,Curve 19,Length 100
98,0.15,0.5839018410995842,Curve 19,Length 100
99,0.2,0.4225548042655952,Curve 19,Length 100
100,smooth,0.6238289501044266,Curve 20,Length 100
101,0.05,0.887752200953845,Curve 20,Length 100
102,0.1,0.6977197913788569,Curve 20,Length 100
103,0.15,0.6895741045086994,Curve 20,Length 100
104,0.2,0.5412621181452356,Curve 20,Length 100
105,smooth,0.5505519673930527,Curve 21,Length 100
106,0.05,0.631221596427938,Curve 21,Length 100
107,0.1,0.5065202275006332,Curve 21,Length 100
108,0.15,0.5517600752360492,Curve 21,Length 100
109,0.2,0.4651448651303021,Curve 21,Length 100
110,smooth,0.41376526754307,Curve 22,Length 100
111,0.05,0.6133957955310843,Curve 22,Length 100
112,0.1,0.6396320116274863,Curve 22,Length 100
113,0.15,0.5869978691035873,Curve 22,Length 100
114,0.2,0.4826517217628424,Curve 22,Length 100
115,smooth,0.3940616779203646,Curve 23,Length 100
116,0.05,0.7581032873597485,Curve 23,Length 100
117,0.1,0.5979600965725059,Curve 23,Length 100
118,0.15,0.4523136446750762,Curve 23,Length 100
119,0.2,0.4744836323398204,Curve 23,Length 100
120,smooth,0.5200388764872561,Curve 24,Length 100
121,0.05,0.6802232125314175,Curve 24,Length 100
122,0.1,0.5712077752834787,Curve 24,Length 100
123,0.15,0.5381881228730007,Curve 24,Length 100
124,0.2,0.5532649511717844,Curve 24,Length 100
125,smooth,0.2793204304282778,Curve 25,Length 100
126,0.05,0.6519338949332542,Curve 25,Length 100
127,0.1,0.4879901579632547,Curve 25,Length 100
128,0.15,0.5360185623221989,Curve 25,Length 100
129,0.2,0.5159367270815617,Curve 25,Length 100
130,smooth,0.5793276392831099,Curve 26,Length 100
131,0.05,0.8439671295520378,Curve 26,Length 100
132,0.1,0.7923537122823432,Curve 26,Length 100
133,0.15,0.7727216593087151,Curve 26,Length 100
134,0.2,0.4359729695190988,Curve 26,Length 100
135,smooth,0.5776978897806127,Curve 27,Length 100
136,0.05,0.7471379659553729,Curve 27,Length 100
137,0.1,0.6933275611809775,Curve 27,Length 100
138,0.15,0.6622695804951306,Curve 27,Length 100
139,0.2,0.6387958865530222,Curve 27,Length 100
140,smooth,0.5209464273340971,Curve 28,Length 100
141,0.05,0.6300714503336569,Curve 28,Length 100
142,0.1,0.638123065586568,Curve 28,Length 100
143,0.15,0.4707871671889457,Curve 28,Length 100
144,0.2,0.3556097411205738,Curve 28,Length 100
145,smooth,0.4905687732359222,Curve 29,Length 100
146,0.05,0.6634459658222546,Curve 29,Length 100
147,0.1,0.5570671096630514,Curve 29,Length 100
148,0.15,0.4512155394858146,Curve 29,Length 100
149,0.2,0.5661941830199828,Curve 29,Length 100
150,smooth,0.5368282818394048,Curve 30,Length 100
151,0.05,0.5677171098366556,Curve 30,Length 100
152,0.1,0.6268449038200175,Curve 30,Length 100
153,0.15,0.4533095058128398,Curve 30,Length 100
154,0.2,0.4057193145832918,Curve 30,Length 100
155,smooth,0.2623467416564964,Curve 31,Length 100
156,0.05,0.47031562344681,Curve 31,Length 100
157,0.1,0.2803039909164189,Curve 31,Length 100
158,0.15,0.4039487246361343,Curve 31,Length 100
159,0.2,0.268537144849235,Curve 31,Length 100
160,smooth,0.6360070534818045,Curve 32,Length 100
161,0.05,0.6033399391465148,Curve 32,Length 100
162,0.1,0.4336217599600928,Curve 32,Length 100
163,0.15,0.4035443440994941,Curve 32,Length 100
164,0.2,0.4627268792925002,Curve 32,Length 100
165,smooth,0.6050905995143466,Curve 33,Length 100
166,0.05,0.6606744590872902,Curve 33,Length 100
167,0.1,0.617219937548357,Curve 33,Length 100
168,0.15,0.6423007105623032,Curve 33,Length 100
169,0.2,0.5907458834059033,Curve 33,Length 100
170,smooth,0.5677620237320812,Curve 34,Length 100
171,0.05,0.6310194445025374,Curve 34,Length 100
172,0.1,0.6444285911332758,Curve 34,Length 100
173,0.15,0.5850261993410997,Curve 34,Length 100
174,0.2,0.4400208310826059,Curve 34,Length 100
175,smooth,0.5359285931854907,Curve 35,Length 100
176,0.05,0.6788617538132178,Curve 35,Length 100
177,0.1,0.7465589901184073,Curve 35,Length 100
