,Name,AMI score,Length,Noise
0,Curve 0,0.5172981647138859,Length 100,Smooth
1,Curve 1,0.6717649269178325,Length 100,Smooth
2,Curve 2,0.5004867800240115,Length 100,Smooth
3,Curve 3,0.542478920600003,Length 100,Smooth
4,Curve 4,0.687316625527188,Length 100,Smooth
5,Curve 5,0.7441104616390019,Length 100,Smooth
6,Curve 6,0.21415582019506166,Length 100,Smooth
7,Curve 7,0.5680358372589951,Length 100,Smooth
8,Curve 8,0.634377216098727,Length 100,Smooth
9,Curve 9,0.6348468506464146,Length 100,Smooth
10,Curve 10,0.3264904866067801,Length 100,Smooth
11,Curve 11,0.4777303626652777,Length 100,Smooth
12,Curve 12,0.5125773546985711,Length 100,Smooth
13,Curve 13,0.5432009181877134,Length 100,Smooth
14,Curve 14,0.6803150085392738,Length 100,Smooth
15,Curve 15,0.4377234948678466,Length 100,Smooth
16,Curve 16,0.4895231919399391,Length 100,Smooth
17,Curve 17,0.576224242139763,Length 100,Smooth
18,Curve 18,0.439771408960358,Length 100,Smooth
19,Curve 19,0.41053160648691395,Length 100,Smooth
20,Curve 20,0.5658397049565539,Length 100,Smooth
21,Curve 21,0.6221105658780072,Length 100,Smooth
22,Curve 22,0.5468859774967628,Length 100,Smooth
23,Curve 23,0.5754172582568684,Length 100,Smooth
24,Curve 24,0.581898093170742,Length 100,Smooth
25,Curve 25,0.3719965150429692,Length 100,Smooth
26,Curve 26,0.5273311585323313,Length 100,Smooth
27,Curve 27,0.5709107374757578,Length 100,Smooth
28,Curve 28,0.534855656799605,Length 100,Smooth
29,Curve 29,0.4853026373538795,Length 100,Smooth
30,Curve 30,0.5339705729153686,Length 100,Smooth
31,Curve 31,0.31091172790489996,Length 100,Smooth
32,Curve 32,0.6244152269265519,Length 100,Smooth
33,Curve 33,0.5800967181279726,Length 100,Smooth
34,Curve 34,0.5171385840856626,Length 100,Smooth
35,Curve 35,0.53704279219532,Length 100,Smooth
36,Curve 36,0.5595917827828629,Length 100,Smooth
37,Curve 37,0.4599295205813223,Length 100,Smooth
38,Curve 38,0.5542043090426734,Length 100,Smooth
39,Curve 39,0.35502844363750236,Length 100,Smooth
40,Curve 40,0.5346095928986373,Length 100,Smooth
41,Curve 41,0.5453930682818352,Length 100,Smooth
42,Curve 42,0.7140142408425642,Length 100,Smooth
43,Curve 43,0.5390581499441254,Length 100,Smooth
44,Curve 44,0.47338661097761137,Length 100,Smooth
45,Curve 45,0.518964423092445,Length 100,Smooth
46,Curve 46,0.37111912451195184,Length 100,Smooth
47,Curve 47,0.30059006447018843,Length 100,Smooth
48,Curve 48,0.40574010689611395,Length 100,Smooth
49,Curve 49,0.5148089780374011,Length 100,Smooth
50,Curve 50,0.5148679770033954,Length 100,Smooth
51,Curve 51,0.48467459964800963,Length 100,Smooth
52,Curve 52,0.22361144080790124,Length 100,Smooth
53,Curve 53,0.6854214916940253,Length 100,Smooth
54,Curve 54,0.39955386828872613,Length 100,Smooth
55,Curve 55,0.43415208609815475,Length 100,Smooth
56,Curve 56,0.4271437595276686,Length 100,Smooth
57,Curve 57,0.4803273111027092,Length 100,Smooth
58,Curve 58,0.7563468868788304,Length 100,Smooth
59,Curve 59,0.5309705438160156,Length 100,Smooth
60,Curve 60,0.40965888992909905,Length 100,Smooth
61,Curve 61,0.482421275164295,Length 100,Smooth
62,Curve 62,0.526188507724533,Length 100,Smooth
63,Curve 63,0.5836920556893124,Length 100,Smooth
64,Curve 64,0.2988454292714693,Length 100,Smooth
65,Curve 65,0.5526869412791268,Length 100,Smooth
66,Curve 66,0.6507668497465585,Length 100,Smooth
67,Curve 67,0.7223938364491019,Length 100,Smooth
68,Curve 68,0.2304032474033226,Length 100,Smooth
69,Curve 69,0.36275388200827613,Length 100,Smooth
70,Curve 70,0.6091981500870874,Length 100,Smooth
71,Curve 71,0.5114857865297914,Length 100,Smooth
72,Curve 72,0.49214781105730043,Length 100,Smooth
73,Curve 73,0.5038394954295585,Length 100,Smooth
74,Curve 74,0.40607939038920615,Length 100,Smooth
75,Curve 75,0.5408621579811564,Length 100,Smooth
76,Curve 76,0.6793374720596771,Length 100,Smooth
77,Curve 77,0.5785633062662003,Length 100,Smooth
78,Curve 78,0.6799279708976458,Length 100,Smooth
79,Curve 79,0.3553302087302677,Length 100,Smooth
80,Curve 80,0.4744749978086025,Length 100,Smooth
81,Curve 81,0.571625331931081,Length 100,Smooth
82,Curve 82,0.41097475389656457,Length 100,Smooth
83,Curve 83,0.41860470065322164,Length 100,Smooth
84,Curve 84,0.5631580662036778,Length 100,Smooth
85,Curve 85,0.5549554247441392,Length 100,Smooth
86,Curve 86,0.3763092122535574,Length 100,Smooth
87,Curve 87,0.4992944433569338,Length 100,Smooth
88,Curve 88,0.44641674405536313,Length 100,Smooth
89,Curve 89,0.5365299295855441,Length 100,Smooth
90,Curve 90,0.30947171640451715,Length 100,Smooth
91,Curve 91,0.5800656647913562,Length 100,Smooth
92,Curve 92,0.3697730032548825,Length 100,Smooth
93,Curve 93,0.5154382997570666,Length 100,Smooth
94,Curve 94,0.5797546377699111,Length 100,Smooth
95,Curve 95,0.4870786798619186,Length 100,Smooth
96,Curve 96,0.4981506015408491,Length 100,Smooth
97,Curve 97,0.5963948044117413,Length 100,Smooth
98,Curve 98,0.5866307280880293,Length 100,Smooth
99,Curve 99,0.7574776808156064,Length 100,Smooth
100,Curve 100,0.6459013620132741,Length 100,Smooth
101,Curve 101,0.34334766370062325,Length 100,Smooth
102,Curve 102,0.5547355712224489,Length 100,Smooth
103,Curve 103,0.36689493043320487,Length 100,Smooth
104,Curve 104,0.5972128670554522,Length 100,Smooth
105,Curve 105,0.6049279830357418,Length 100,Smooth
106,Curve 106,0.5215200986612141,Length 100,Smooth
107,Curve 107,0.5999900581253155,Length 100,Smooth
108,Curve 108,0.3895809002652776,Length 100,Smooth
109,Curve 109,0.49973971018754726,Length 100,Smooth
110,Curve 110,0.453937945659324,Length 100,Smooth
111,Curve 111,0.6605564277578191,Length 100,Smooth
112,Curve 112,0.6412862565483763,Length 100,Smooth
