,Correlation,Name,Length
0,0.7566807091706261,Curve 0,Length 100
2,0.552449624866484,Curve 1,Length 100
4,0.7160540378205249,Curve 2,Length 100
6,0.6656789887659307,Curve 3,Length 100
8,0.7185199416318336,Curve 4,Length 100
10,0.3469177123767606,Curve 5,Length 100
12,0.7476490038452043,Curve 6,Length 100
14,0.7911680073264682,Curve 7,Length 100
16,0.5125014991048983,Curve 8,Length 100
18,0.7140506291328435,Curve 9,Length 100
20,0.5836744866078344,Curve 10,Length 100
22,0.5966896474098097,Curve 11,Length 100
24,0.6935106797247196,Curve 12,Length 100
26,0.84205514781674,Curve 13,Length 100
28,0.7845584318345433,Curve 14,Length 100
30,0.6305481678133871,Curve 15,Length 100
32,0.6287930530454964,Curve 16,Length 100
34,0.415361770343347,Curve 17,Length 100
36,0.4492724311298349,Curve 18,Length 100
38,0.762744109074499,Curve 19,Length 100
40,0.6721478403690876,Curve 20,Length 100
42,0.8056444800644011,Curve 21,Length 100
44,0.801657504643634,Curve 22,Length 100
46,0.7579308145582154,Curve 23,Length 100
48,0.6729950205442675,Curve 24,Length 100
50,0.7169222522319746,Curve 25,Length 100
52,0.6864579205684352,Curve 26,Length 100
54,0.8299716004922174,Curve 27,Length 100
56,0.7593423580242858,Curve 28,Length 100
58,0.6639522703747074,Curve 29,Length 100
60,0.7815684335383878,Curve 30,Length 100
62,0.6572754129990721,Curve 31,Length 100
64,0.6465689472641082,Curve 32,Length 100
66,0.71857868165554,Curve 33,Length 100
68,0.6979602731249642,Curve 34,Length 100
70,0.7125196096325106,Curve 35,Length 100
72,0.8142369291267467,Curve 36,Length 100
74,0.5812504693761319,Curve 37,Length 100
76,0.7194141202160493,Curve 38,Length 100
78,0.5644312481859334,Curve 39,Length 100
80,0.6404158353062585,Curve 40,Length 100
82,0.7243453003128418,Curve 41,Length 100
84,0.8435595628930018,Curve 42,Length 100
86,0.303445451547673,Curve 43,Length 100
88,0.4717014276458832,Curve 44,Length 100
90,0.6586617136826932,Curve 45,Length 100
