,Correlation,Noise,Name,Length
0,0.4940755938535242,smooth,Curve 0,Length 100
1,0.8103799168265023,0.05,Curve 0,Length 100
2,0.6346429966779485,0.1,Curve 0,Length 100
3,0.4896579554309759,0.15,Curve 0,Length 100
4,0.391210275483056,0.2,Curve 0,Length 100
10,0.6288654036535023,smooth,Curve 1,Length 100
11,0.6870651753195436,0.05,Curve 1,Length 100
12,0.7640214336224452,0.1,Curve 1,Length 100
13,0.6690314901657047,0.15,Curve 1,Length 100
14,0.654930091903741,0.2,Curve 1,Length 100
20,0.6305073149128078,smooth,Curve 2,Length 100
21,0.8564493126763508,0.05,Curve 2,Length 100
22,0.6139933877920407,0.1,Curve 2,Length 100
23,0.5119731416624818,0.15,Curve 2,Length 100
24,0.6144037457256014,0.2,Curve 2,Length 100
30,0.5104507249952028,smooth,Curve 3,Length 100
31,0.6873776965254715,0.05,Curve 3,Length 100
32,0.7552434425083213,0.1,Curve 3,Length 100
33,0.537861142556129,0.15,Curve 3,Length 100
34,0.6117207074956366,0.2,Curve 3,Length 100
40,0.3897579401013676,smooth,Curve 4,Length 100
41,0.6912850608707566,0.05,Curve 4,Length 100
42,0.6633182435019509,0.1,Curve 4,Length 100
43,0.5629003504209741,0.15,Curve 4,Length 100
44,0.5391309346910216,0.2,Curve 4,Length 100
50,0.4915075946397143,smooth,Curve 5,Length 100
51,0.8480875642806529,0.05,Curve 5,Length 100
52,0.6890274479758848,0.1,Curve 5,Length 100
53,0.6130134400312586,0.15,Curve 5,Length 100
54,0.6462097177987352,0.2,Curve 5,Length 100
60,0.4845959511610576,smooth,Curve 6,Length 100
61,0.6389103401588618,0.05,Curve 6,Length 100
62,0.779575844531042,0.1,Curve 6,Length 100
63,0.6224653822573476,0.15,Curve 6,Length 100
64,0.6019501298874058,0.2,Curve 6,Length 100
70,0.4643887212754378,smooth,Curve 7,Length 100
71,0.8940929003947236,0.05,Curve 7,Length 100
72,0.7091034473859642,0.1,Curve 7,Length 100
73,0.3540046750952043,0.15,Curve 7,Length 100
74,0.4868905569821043,0.2,Curve 7,Length 100
80,0.4600968711866081,smooth,Curve 8,Length 100
81,0.7450549075489841,0.05,Curve 8,Length 100
82,0.7216833853223588,0.1,Curve 8,Length 100
83,0.6272346738757903,0.15,Curve 8,Length 100
84,0.4121450861820522,0.2,Curve 8,Length 100
90,0.6131821083626919,smooth,Curve 9,Length 100
91,0.7749472794699361,0.05,Curve 9,Length 100
92,0.6525528477261135,0.1,Curve 9,Length 100
93,0.5425143314241807,0.15,Curve 9,Length 100
