,Name,Correlation with ROG,Correlation with pairwise distances,Correlation between ROG and pairwise distances,Length
0,Curve 0,-0.392052532825285,-0.3787410504170601,0.9474806371771056,Length 100
1,Curve 1,-0.3832249722364032,-0.4069790992317127,0.8233855068572716,Length 100
2,Curve 2,-0.4059405292606181,-0.4425762872146311,0.868033530981287,Length 100
3,Curve 3,-0.4925913582970736,-0.4863288877961181,0.8984911180793695,Length 100
4,Curve 4,-0.3667743642354945,-0.3874090191568065,0.9341285213388776,Length 100
5,Curve 5,-0.3199045156840545,-0.2402106218060276,0.8769636804766441,Length 100
6,Curve 6,-0.4364592229326008,-0.4337386100330651,0.952796039678128,Length 100
7,Curve 7,-0.4806498717105942,-0.511240007026857,0.9509102856593492,Length 100
8,Curve 8,-0.4074779675450778,-0.4299881140723274,0.9039080470120514,Length 100
9,Curve 9,-0.4742775853258447,-0.4848803275073983,0.8753237286405192,Length 100
10,Curve 10,-0.1938007637259067,-0.4040146856826465,0.5596380846593233,Length 100
11,Curve 11,-0.4276147606932211,-0.4294113307472733,0.6662461042796177,Length 100
12,Curve 12,-0.3585400225900664,-0.4602554100699447,0.727456938825276,Length 100
13,Curve 13,-0.4197320930943952,-0.4540901485818367,0.9705241885890384,Length 100
14,Curve 14,-0.3696101494890144,-0.3855882983087936,0.9324686394283364,Length 100
15,Curve 15,-0.3103293745054598,-0.3572074293536016,0.7276786243977005,Length 100
16,Curve 16,-0.4640499375355518,-0.4601075605158948,0.8420496058931018,Length 100
17,Curve 17,-0.3227917684040496,-0.474818578547538,0.617727070427626,Length 100
18,Curve 18,-0.3615285820278557,-0.401504902790379,0.7633373268262541,Length 100
19,Curve 19,-0.3703594807690025,-0.469119940926067,0.6367496726663606,Length 100
20,Curve 20,-0.5671211283938974,-0.543785985291915,0.7855500387451769,Length 100
21,Curve 21,-0.4422738106953828,-0.4266417999863902,0.8883490416269779,Length 100
22,Curve 22,-0.4450654862519942,-0.403403119411015,0.9293799559624536,Length 100
23,Curve 23,-0.2484478773973018,-0.3075186124927551,0.6966060269760643,Length 100
24,Curve 24,-0.5018308691420529,-0.4636575450060261,0.8156124359818057,Length 100
25,Curve 25,-0.4102112084443578,-0.4075491096015831,0.8672425360074785,Length 100
26,Curve 26,-0.3954778128957967,-0.4223182178265253,0.964841451391782,Length 100
27,Curve 27,-0.396725094122118,-0.4443028138151694,0.945666119273016,Length 100
28,Curve 28,-0.3487287783784653,-0.3470197447788817,0.903434413317323,Length 100
29,Curve 29,-0.4460523717552771,-0.4596599722623275,0.8979874097722038,Length 100
30,Curve 30,-0.4754667296326988,-0.4612925413922729,0.7113236536215745,Length 100
31,Curve 31,-0.3708004131697408,-0.4567488161147355,0.7228475918258511,Length 100
32,Curve 32,-0.4918469780021218,-0.4508324544971083,0.7098338873600611,Length 100
33,Curve 33,-0.550292172918562,-0.5413570497384601,0.8577086814383714,Length 100
34,Curve 34,-0.3460090106650405,-0.3884790928291043,0.8766930909570584,Length 100
35,Curve 35,-0.5236866265865678,-0.4780842931058119,0.8843620054219696,Length 100
36,Curve 36,-0.4048827378084891,-0.3912185286552216,0.8603508102569184,Length 100
37,Curve 37,-0.4325422680554618,-0.4731679589268908,0.8811031378006152,Length 100
38,Curve 38,-0.4387904586349227,-0.4791072282296885,0.9050823539586096,Length 100
39,Curve 39,-0.2255792508625989,-0.433629745889266,0.6888596831993953,Length 100
40,Curve 40,-0.4311644999890891,-0.4602097921088772,0.9412341668868908,Length 100
41,Curve 41,-0.3807719046625286,-0.4835836126259032,0.812293856255259,Length 100
42,Curve 42,-0.3433753570176812,-0.3659856191455355,0.8388265020842135,Length 100
43,Curve 43,-0.3611977795012468,-0.4000955487827919,0.8034154550138332,Length 100
44,Curve 44,-0.3190625906733013,-0.3483767462436089,0.902272705879726,Length 100
45,Curve 45,-0.406983256617219,-0.4053240249970797,0.929797725872668,Length 100
46,Curve 46,-0.3784336451664478,-0.4510540871901684,0.6844835744982115,Length 100
47,Curve 47,-0.3068427511975378,-0.3719222144650859,0.6867874678342354,Length 100
48,Curve 48,-0.3097970871568349,-0.4469365965039833,0.8226300615137713,Length 100
49,Curve 49,-0.4954346717240287,-0.4758629374803352,0.8363074097499837,Length 100
50,Curve 50,-0.4325460179485808,-0.4494722474691511,0.9540330710182516,Length 100
51,Curve 51,-0.5672970903607973,-0.5689732898676653,0.9331622154752216,Length 100
52,Curve 52,-0.3946444019815468,-0.4160173853614569,0.8899432525209781,Length 100
53,Curve 53,-0.4561010603720228,-0.4287378769199477,0.9297088091403516,Length 100
54,Curve 54,-0.4172905821681985,-0.4271114458486775,0.7618890875061405,Length 100
55,Curve 55,-0.3937929056943047,-0.4511655449258292,0.7660172408927269,Length 100
56,Curve 56,-0.4251653432609248,-0.4602287876907792,0.932677434712042,Length 100
57,Curve 57,-0.3640486730071186,-0.5352465665511893,0.6624980965263918,Length 100
58,Curve 58,-0.5104737167599908,-0.4972140641117499,0.8828374485436045,Length 100
59,Curve 59,-0.4067261570881605,-0.4109589468516613,0.8492078465425053,Length 100
60,Curve 60,-0.4421630005467821,-0.4193450827330829,0.9445974586370328,Length 100
61,Curve 61,-0.4053351246343313,-0.4345325933967847,0.9623925746437104,Length 100
62,Curve 62,-0.415560061450301,-0.4735437510439917,0.8069292421861902,Length 100
63,Curve 63,-0.3656877720434061,-0.3611631570973531,0.9770119939057036,Length 100
64,Curve 64,-0.3874283975085702,-0.3885741183721613,0.7992187442766737,Length 100
65,Curve 65,-0.4507772948217027,-0.4395244954156819,0.8543594769831632,Length 100
66,Curve 66,-0.5198521487014179,-0.5121784915618763,0.8878527119846537,Length 100
67,Curve 67,-0.4868724148435673,-0.4993542393734849,0.8646343237766403,Length 100
68,Curve 68,-0.2161306851106935,-0.4068244279313859,0.6564400022340681,Length 100
69,Curve 69,-0.3568090526899009,-0.4350703425822091,0.8232057731383742,Length 100
70,Curve 70,-0.3501625861592671,-0.4065813990890276,0.8566418697466907,Length 100
71,Curve 71,-0.3986222162145468,-0.4116995168096227,0.93130926753702,Length 100
72,Curve 72,-0.4945521234219383,-0.5825077480986679,0.8221790157564745,Length 100
73,Curve 73,-0.3509339401703287,-0.4434357248848973,0.8426447658315277,Length 100
74,Curve 74,-0.4589756464315431,-0.4266721084713544,0.905896271599386,Length 100
75,Curve 75,-0.4517446190832851,-0.4951486018611417,0.9642699724171097,Length 100
76,Curve 76,-0.4472318079520346,-0.4657222381905018,0.8562995898554593,Length 100
77,Curve 77,-0.5406106967606571,-0.5399338497983961,0.8741307632724529,Length 100
78,Curve 78,-0.5156886658227418,-0.4716690912478238,0.9478970909036096,Length 100
79,Curve 79,-0.3380390623508614,-0.4145969020197976,0.7395649368937908,Length 100
80,Curve 80,-0.4105064231637835,-0.4694416208039507,0.762498153908794,Length 100
81,Curve 81,-0.4149381922493856,-0.4163974833631608,0.8156109534777489,Length 100
82,Curve 82,-0.3918842506645525,-0.4420513758839265,0.8193800038739372,Length 100
83,Curve 83,-0.4971055649518222,-0.5268429368874358,0.9558794925840096,Length 100
84,Curve 84,-0.385182220998454,-0.4775131966876472,0.6537473347962763,Length 100
85,Curve 85,-0.3730537925126804,-0.424846942989932,0.8206268465156533,Length 100
86,Curve 86,-0.4143563022909958,-0.448342753135227,0.7384135722198818,Length 100
87,Curve 87,-0.4229226031433571,-0.4255123502120483,0.917317705165884,Length 100
88,Curve 88,-0.2625520313235399,-0.2943894241777837,0.9139512240468688,Length 100
89,Curve 89,-0.5066799083809508,-0.5100147416728553,0.7891103976508326,Length 100
90,Curve 90,-0.3498226139772449,-0.3671501983047001,0.9653644805034785,Length 100
91,Curve 91,-0.5453603634613685,-0.5803220481277366,0.8391527591957401,Length 100
92,Curve 92,-0.3199458561834989,-0.3904834755483861,0.7061406753805929,Length 100
93,Curve 93,-0.4539379168756329,-0.4181728093308974,0.9210119023793826,Length 100
94,Curve 94,-0.3970623558373622,-0.4392003450081067,0.8121928136692301,Length 100
95,Curve 95,-0.464621367563531,-0.4889194308142993,0.8813598066741674,Length 100
96,Curve 96,-0.2496120843888578,-0.3169315503093521,0.7367325969338229,Length 100
97,Curve 97,-0.5235303522691963,-0.5259314361466358,0.9096415832796002,Length 100
98,Curve 98,-0.4662232231176207,-0.4143955296439087,0.7515739792258344,Length 100
99,Curve 99,-0.4694200208607644,-0.475094992566595,0.917914265141202,Length 100
100,Curve 100,-0.5445984608993955,-0.5321242326712696,0.9059611141205828,Length 100
101,Curve 101,-0.3305936856293608,-0.4716145508723931,0.7938539464308225,Length 100
102,Curve 102,-0.4863967447177443,-0.4339201749595184,0.8643720070822074,Length 100
103,Curve 103,-0.203085809206701,-0.3097598008663437,0.5781297985686412,Length 100
104,Curve 104,-0.5621689334743578,-0.5088429520219777,0.8809974685597207,Length 100
105,Curve 105,-0.4594381466623843,-0.4694448573905181,0.8210728842381184,Length 100
106,Curve 106,-0.4060980690975785,-0.4108014764929297,0.8900774602685894,Length 100
107,Curve 107,-0.4162980035392967,-0.4514833584765845,0.7347100590368146,Length 100
108,Curve 108,-0.3161462335381353,-0.2298600016558779,0.6695808975486964,Length 100
109,Curve 109,-0.3743984445839564,-0.3795905920229128,0.8881789739886827,Length 100
110,Curve 110,-0.4584394810039523,-0.4644175470573824,0.8778332134105081,Length 100
111,Curve 111,-0.400043182453906,-0.414935117824932,0.9311797640782652,Length 100
112,Curve 112,-0.4301038522010995,-0.4621434122026094,0.928744868046402,Length 100
113,Curve 113,-0.3823908493309544,-0.3725298783642297,0.9461369966765258,Length 100
114,Curve 114,-0.3709479748070683,-0.446161278256037,0.7902880897463713,Length 100
115,Curve 115,-0.5087617660255338,-0.5107724463045625,0.8599667106578219,Length 100
116,Curve 116,-0.4451007192680968,-0.46855290957036,0.916571041891872,Length 100
117,Curve 117,-0.4674279891104099,-0.467099168462967,0.8397315758007226,Length 100
118,Curve 118,-0.4411095480328093,-0.4583984899849302,0.9206442474604312,Length 100
119,Curve 119,-0.3958119535652855,-0.4256038735990257,0.9615491750470384,Length 100
120,Curve 120,-0.2634198160933241,-0.3750099747210523,0.6956660577799421,Length 100
121,Curve 121,-0.4455954245971369,-0.4411828471944096,0.7919425117981383,Length 100
122,Curve 122,-0.4218762062225549,-0.4297115966890748,0.8835665619208655,Length 100
123,Curve 123,-0.3860008347045232,-0.3924806416506819,0.9222201850084496,Length 100
124,Curve 124,-0.4119261281489626,-0.4424364660384137,0.9371523523546345,Length 100
125,Curve 125,-0.2171163821044539,-0.328479784366788,0.7208491120035084,Length 100
126,Curve 126,-0.4627164689190278,-0.445665124137143,0.7974745614072573,Length 100
127,Curve 127,-0.4876858688770992,-0.5252461102729817,0.8720131068216678,Length 100
128,Curve 128,-0.4841443943863229,-0.5034610746923047,0.903027514580243,Length 100
129,Curve 129,-0.4137773350113343,-0.4495889512042804,0.9320527737310024,Length 100
130,Curve 130,-0.2018502628807061,-0.3612245247423417,0.6545643229666226,Length 100
131,Curve 131,-0.3656913290943062,-0.3745817547963252,0.9517322736654868,Length 100
132,Curve 132,-0.5409798575404816,-0.5349409428704024,0.8359652049667676,Length 100
133,Curve 133,-0.5233691612712819,-0.5643182219995168,0.8564911696211576,Length 100
134,Curve 134,-0.5316118290395144,-0.5361137106953773,0.938142693697024,Length 100
135,Curve 135,-0.4890372200990678,-0.5351811555791381,0.7613486189136166,Length 100
136,Curve 136,-0.3492356050551226,-0.3909804744497795,0.8012613044990745,Length 100
137,Curve 137,-0.2906781938083847,-0.4380755257213761,0.4858227134761861,Length 100
138,Curve 138,-0.529844267770904,-0.5602948697546052,0.8963498317826829,Length 100
139,Curve 139,-0.5208211678362693,-0.5462147727573125,0.9329100974846676,Length 100
140,Curve 140,-0.2521629785652788,-0.3061487799714665,0.7924471656631302,Length 100
141,Curve 141,-0.479037721772004,-0.4889915909908769,0.9369212172184836,Length 100
142,Curve 142,-0.4027170715069204,-0.3506103716931052,0.8916744623937172,Length 100
143,Curve 143,-0.4101505343757876,-0.5009470995367961,0.546486502304081,Length 100
144,Curve 144,-0.3602446771712298,-0.358572761273161,0.9261578224858248,Length 100
145,Curve 145,-0.4488316263451179,-0.4730127356664735,0.8884864878090448,Length 100
146,Curve 146,-0.3146942291138292,-0.3708737270979831,0.6939204462113066,Length 100
147,Curve 147,-0.3481372001033392,-0.3834246583912488,0.91936449575265,Length 100
148,Curve 148,-0.4962344817076141,-0.5177070692831973,0.9137005268626603,Length 100
149,Curve 149,-0.4549241595951355,-0.5044753388998291,0.907147247093272,Length 100
150,Curve 150,-0.4578044811874722,-0.4742529524485125,0.9512395440455786,Length 100
151,Curve 151,-0.5041637335807565,-0.5345226772451098,0.8723128484399139,Length 100
152,Curve 152,-0.3227991025810757,-0.4322691408811441,0.58030559467593,Length 100
153,Curve 153,-0.4871547775089192,-0.5244271601179028,0.7799988746033015,Length 100
154,Curve 154,-0.2770767568935455,-0.355716923594883,0.8766830209967619,Length 100
155,Curve 155,-0.3509512028290028,-0.441443248113442,0.8420572717661216,Length 100
156,Curve 156,-0.2785707113238913,-0.4073267207451159,0.5617986487584228,Length 100
157,Curve 157,-0.4228371706645374,-0.4556117677286862,0.8665587582603024,Length 100
158,Curve 158,-0.4623448588503761,-0.500039909939428,0.8037192596992356,Length 100
159,Curve 159,-0.519977458412625,-0.4097990303964179,0.8367358964964766,Length 100
160,Curve 160,-0.403908506147519,-0.4233086059640378,0.8773786224466629,Length 100
161,Curve 161,-0.4625013284757724,-0.4781784229369433,0.8907590978020974,Length 100
