,Overlap,Name,Type
0,0.15079365079365079,unbiased_336,unbiased
0,0.02857142857142857,unbiased_224,unbiased
0,0.1142857142857143,unbiased_377,unbiased
1,0.34285714285714286,unbiased_377,unbiased
2,0.7857142857142856,unbiased_377,unbiased
0,0.7301587301587302,unbiased_232,unbiased
0,0.9142857142857143,unbiased_320,unbiased
0,1.0285714285714285,unbiased_199,unbiased
1,3.0,unbiased_199,unbiased
2,0.047619047619047616,unbiased_199,unbiased
0,0.033566433566433566,unbiased_101,unbiased
0,1.0,unbiased_286,unbiased
0,0.002331002331002331,unbiased_140,unbiased
0,0.413986013986014,unbiased_245,unbiased
0,0.7857142857142857,unbiased_23,unbiased
0,0.11188811188811189,unbiased_195,unbiased
0,0.12554112554112554,unbiased_35,unbiased
0,0.006060606060606061,unbiased_341,unbiased
0,2.3636363636363633,unbiased_62,unbiased
1,1.2363636363636363,unbiased_62,unbiased
2,0.08571428571428572,unbiased_62,unbiased
0,1.0,unbiased_340,unbiased
0,0.5286713286713286,unbiased_287,unbiased
0,0.2948717948717949,unbiased_395,unbiased
0,0.6041958041958042,unbiased_100,unbiased
0,0.638888888888889,unbiased_383,unbiased
0,0.0008403361344537816,unbiased_209,unbiased
0,0.047619047619047616,unbiased_120,unbiased
1,0.42857142857142855,unbiased_120,unbiased
2,1.8857142857142857,unbiased_120,unbiased
0,2.475524475524476,unbiased_376,unbiased
1,3.0,unbiased_376,unbiased
2,2.3268731268731266,unbiased_376,unbiased
0,0.019314019314019312,unbiased_233,unbiased
0,0.09271904566022213,unbiased_360,unbiased
0,1.0,unbiased_337,unbiased
0,0.00024975024975024975,unbiased_14,unbiased
0,0.40824534942182,unbiased_150,unbiased
0,0.0005827505827505828,unbiased_107,unbiased
0,0.047619047619047616,unbiased_238,unbiased
0,3.0,unbiased_146,unbiased
1,0.21818181818181817,unbiased_146,unbiased
2,0.10489510489510488,unbiased_146,unbiased
0,1.0285714285714285,unbiased_214,unbiased
1,0.34285714285714286,unbiased_214,unbiased
2,0.08571428571428572,unbiased_214,unbiased
0,0.5476190476190476,unbiased_72,unbiased
0,0.006993006993006993,unbiased_306,unbiased
0,0.00404040404040404,unbiased_185,unbiased
0,0.004329004329004329,unbiased_193,unbiased
0,0.8588235294117648,unbiased_347,unbiased
0,0.001554001554001554,unbiased_13,unbiased
0,0.015873015873015872,unbiased_91,unbiased
0,0.7301587301587302,unbiased_131,unbiased
0,1.0,unbiased_29,unbiased
0,0.0001554001554001554,unbiased_166,unbiased
0,0.8269230769230771,unbiased_69,unbiased
0,0.0021645021645021645,unbiased_188,unbiased
0,0.16125051419169067,unbiased_130,unbiased
0,0.047619047619047616,unbiased_327,unbiased
1,0.8571428571428571,unbiased_327,unbiased
2,0.08571428571428572,unbiased_327,unbiased
0,0.03571428571428571,unbiased_274,unbiased
0,0.00010773540185304891,unbiased_254,unbiased
0,0.3833333333333333,unbiased_311,unbiased
0,0.5236985236985237,unbiased_281,unbiased
0,0.0035714285714285713,unbiased_110,unbiased
0,0.7550505050505051,unbiased_49,unbiased
0,0.15079365079365079,unbiased_345,unbiased
0,0.034640522875816995,unbiased_191,unbiased
0,0.0004578754578754579,unbiased_312,unbiased
0,0.09523809523809523,unbiased_304,unbiased
0,0.0001554001554001554,unbiased_241,unbiased
0,0.12554112554112554,unbiased_70,unbiased
0,0.047619047619047616,unbiased_353,unbiased
1,2.357142857142857,unbiased_353,unbiased
2,0.17142857142857143,unbiased_353,unbiased
0,0.0011655011655011655,unbiased_328,unbiased
0,0.14825174825174825,unbiased_113,unbiased
0,0.07150228512457615,unbiased_105,unbiased
0,0.004329004329004329,unbiased_369,unbiased
0,0.007936507936507936,unbiased_294,unbiased
0,0.6285714285714286,unbiased_172,unbiased
0,0.17094017094017094,unbiased_164,unbiased
0,0.015873015873015872,unbiased_93,unbiased
0,0.001554001554001554,unbiased_220,unbiased
0,0.05714285714285714,unbiased_299,unbiased
0,0.000666000666000666,unbiased_221,unbiased
0,0.3151515151515151,unbiased_364,unbiased
0,1.0,unbiased_8,unbiased
0,0.1058941058941059,unbiased_372,unbiased
0,0.43756243756243757,unbiased_124,unbiased
0,1.0,unbiased_84,unbiased
0,0.013986013986013986,unbiased_295,unbiased
0,0.000999000999000999,unbiased_104,unbiased
0,0.00024975024975024975,unbiased_283,unbiased
0,0.17142857142857143,unbiased_145,unbiased
0,0.009523809523809525,unbiased_26,unbiased
0,0.23644471557230384,unbiased_169,unbiased
0,0.030303030303030304,unbiased_201,unbiased
0,0.5053613053613053,unbiased_67,unbiased
0,0.17142857142857143,unbiased_83,unbiased
0,0.7878787878787878,unbiased_318,unbiased
0,1.0,unbiased_174,unbiased
0,0.0025252525252525255,unbiased_162,unbiased
0,0.006060606060606061,unbiased_119,unbiased
0,0.5737373737373737,unbiased_226,unbiased
0,0.5743374272786037,unbiased_40,unbiased
0,0.08225108225108226,unbiased_271,unbiased
0,0.12554112554112554,unbiased_178,unbiased
0,0.7301587301587302,unbiased_251,unbiased
0,0.15079365079365079,unbiased_302,unbiased
0,0.006993006993006993,unbiased_247,unbiased
0,0.3434343434343435,unbiased_210,unbiased
0,0.000666000666000666,unbiased_103,unbiased
0,0.007936507936507936,unbiased_154,unbiased
0,0.18065268065268064,unbiased_211,unbiased
0,0.00012899896800825592,unbiased_303,unbiased
0,0.36363636363636365,unbiased_315,unbiased
0,0.38841158841158835,unbiased_36,unbiased
0,0.005050505050505051,unbiased_342,unbiased
0,1.0,unbiased_207,unbiased
0,0.00909090909090909,unbiased_159,unbiased
0,0.9210526315789475,unbiased_270,unbiased
0,0.000999000999000999,unbiased_335,unbiased
0,0.023809523809523808,unbiased_41,unbiased
0,0.06363636363636363,unbiased_57,unbiased
0,0.03427944604415192,unbiased_118,unbiased
0,0.42857142857142855,unbiased_134,unbiased
0,0.00017482517482517483,unbiased_163,unbiased
0,0.5236985236985237,unbiased_175,unbiased
0,0.31318681318681324,unbiased_82,unbiased
0,0.06666666666666667,zebrafish_133,zebrafish
0,0.30952380952380953,zebrafish_76,zebrafish
0,0.00909090909090909,zebrafish_36,zebrafish
0,0.012987012987012988,zebrafish_61,zebrafish
1,0.028571428571428574,zebrafish_61,zebrafish
2,0.047619047619047616,zebrafish_61,zebrafish
0,0.0021645021645021645,zebrafish_98,zebrafish
0,0.007936507936507936,zebrafish_8,zebrafish
0,0.6216006216006216,zebrafish_20,zebrafish
0,0.0021645021645021645,zebrafish_112,zebrafish
0,1.0285714285714285,zebrafish_94,zebrafish
1,1.8857142857142857,zebrafish_94,zebrafish
2,1.2000000000000002,zebrafish_94,zebrafish
0,0.004395604395604396,zebrafish_16,zebrafish
0,0.00404040404040404,zebrafish_115,zebrafish
0,0.06493506493506493,zebrafish_142,zebrafish
0,0.030303030303030304,zebrafish_70,zebrafish
0,0.0011655011655011655,zebrafish_139,zebrafish
0,0.06363636363636363,zebrafish_66,zebrafish
0,2.0999999999999996,zebrafish_89,zebrafish
1,0.10714285714285714,zebrafish_89,zebrafish
2,1.1785714285714286,zebrafish_89,zebrafish
0,0.8571428571428571,zebrafish_46,zebrafish
0,0.5714285714285714,zebrafish_3,zebrafish
1,0.047619047619047616,zebrafish_3,zebrafish
2,1.2619047619047619,zebrafish_3,zebrafish
0,0.05714285714285714,zebrafish_162,zebrafish
0,0.45571095571095577,zebrafish_159,zebrafish
0,0.08571428571428572,zebrafish_10,zebrafish
1,0.028571428571428574,zebrafish_10,zebrafish
2,0.028571428571428574,zebrafish_10,zebrafish
0,0.20646020646020646,zebrafish_118,zebrafish
0,0.06349206349206349,zebrafish_47,zebrafish
0,3.0,zebrafish_67,zebrafish
1,0.08571428571428572,zebrafish_67,zebrafish
2,0.047619047619047616,zebrafish_67,zebrafish
0,0.03571428571428571,zebrafish_88,zebrafish
0,0.6623376623376623,zebrafish_26,zebrafish
0,0.00017482517482517483,zebrafish_155,zebrafish
0,0.047619047619047616,zebrafish_33,zebrafish
0,0.42857142857142855,zebrafish_48,zebrafish
1,3.0,zebrafish_48,zebrafish
2,0.34285714285714286,zebrafish_48,zebrafish
0,0.06493506493506493,zebrafish_160,zebrafish
0,0.000666000666000666,zebrafish_68,zebrafish
0,0.012121212121212121,zebrafish_29,zebrafish
0,6.284565108094519e-05,zebrafish_13,zebrafish
0,0.19047619047619047,zebrafish_45,zebrafish
0,0.0011655011655011655,zebrafish_53,zebrafish
0,0.016666666666666666,zebrafish_28,zebrafish
0,0.009523809523809525,zebrafish_90,zebrafish
0,0.0025252525252525255,zebrafish_136,zebrafish
0,0.02857142857142857,zebrafish_141,zebrafish
0,1.0,zebrafish_157,zebrafish
0,0.3151515151515151,zebrafish_100,zebrafish
0,0.012987012987012988,zebrafish_15,zebrafish
1,0.012987012987012988,zebrafish_15,zebrafish
2,0.006493506493506494,zebrafish_15,zebrafish
0,0.015873015873015872,zebrafish_35,zebrafish
0,0.02857142857142857,zebrafish_74,zebrafish
0,0.08225108225108226,zebrafish_146,zebrafish
0,0.2787878787878788,zebrafish_106,zebrafish
0,0.006216006216006216,zebrafish_34,zebrafish
0,0.02857142857142857,zebrafish_126,zebrafish
0,0.0025252525252525255,zebrafish_38,zebrafish
0,0.028571428571428574,biased_286,biased
1,0.07792207792207792,biased_286,biased
2,0.1142857142857143,biased_286,biased
0,0.0003996003996003996,biased_53,biased
0,0.00024975024975024975,biased_117,biased
0,0.11428571428571428,biased_45,biased
0,0.04797979797979798,biased_69,biased
0,0.02857142857142857,biased_357,biased
0,0.6095238095238095,biased_65,biased
0,0.5272727272727272,biased_208,biased
0,0.0014652014652014652,biased_32,biased
0,0.0002797002701866865,biased_160,biased
0,0.11428571428571428,biased_24,biased
0,0.02857142857142857,biased_249,biased
0,0.001998001998001998,biased_137,biased
0,0.02857142857142857,biased_248,biased
0,0.02857142857142857,biased_33,biased
0,0.004329004329004329,biased_272,biased
0,0.1986013986013986,biased_264,biased
0,0.00404040404040404,biased_91,biased
0,0.047619047619047616,biased_213,biased
1,0.07272727272727272,biased_213,biased
2,0.007575757575757576,biased_213,biased
0,0.06666666666666667,biased_194,biased
0,1.987012987012987,biased_87,biased
1,0.028571428571428574,biased_87,biased
2,0.047619047619047616,biased_87,biased
0,0.13203463203463203,biased_68,biased
0,0.008658008658008658,biased_340,biased
0,0.10489510489510488,biased_157,biased
0,0.0025252525252525255,biased_44,biased
0,0.5476190476190476,biased_383,biased
0,0.1111111111111111,biased_229,biased
0,0.10909090909090909,biased_52,biased
0,0.042624042624042624,biased_287,biased
0,0.25,biased_4,biased
0,0.1995886466474702,biased_367,biased
0,0.19047619047619047,biased_218,biased
0,0.9047619047619047,biased_280,biased
0,0.001554001554001554,biased_384,biased
0,0.08571428571428572,biased_14,biased
1,0.17142857142857143,biased_14,biased
2,1.8857142857142857,biased_14,biased
0,0.02857142857142857,biased_347,biased
0,0.08225108225108226,biased_193,biased
0,0.000666000666000666,biased_306,biased
0,0.000666000666000666,biased_185,biased
0,0.004329004329004329,biased_79,biased
0,0.47619047619047616,biased_215,biased
0,0.006060606060606061,biased_184,biased
0,0.00404040404040404,biased_39,biased
0,1.0,biased_192,biased
0,0.009523809523809525,biased_346,biased
0,0.004329004329004329,biased_151,biased
0,0.06349206349206349,biased_278,biased
0,0.5476190476190476,biased_9,biased
0,0.08571428571428572,biased_110,biased
1,0.34285714285714286,biased_110,biased
2,0.7714285714285714,biased_110,biased
0,0.02857142857142857,biased_239,biased
0,0.00808080808080808,biased_219,biased
0,0.009523809523809525,biased_130,biased
0,0.007867132867132868,biased_74,biased
0,0.32900432900432897,biased_35,biased
0,0.9047619047619049,biased_126,biased
0,0.0025252525252525255,biased_223,biased
0,0.4126984126984127,biased_5,biased
0,0.2857142857142857,biased_389,biased
0,0.05714285714285714,biased_133,biased
0,0.009523809523809525,biased_172,biased
0,0.4597559303441656,biased_349,biased
0,0.009523809523809525,biased_324,biased
0,0.413986013986014,biased_94,biased
0,0.15079365079365079,biased_353,biased
0,0.047619047619047616,biased_241,biased
1,0.08571428571428572,biased_241,biased
2,0.047619047619047616,biased_241,biased
0,0.0014652014652014652,biased_257,biased
0,0.015873015873015872,biased_129,biased
0,3.0,biased_16,biased
1,3.0,biased_16,biased
2,2.1904761904761907,biased_16,biased
0,0.05714285714285714,biased_41,biased
0,0.000666000666000666,biased_386,biased
0,0.0021645021645021645,biased_113,biased
0,0.5272727272727272,biased_328,biased
0,0.5476190476190476,biased_283,biased
0,0.4126984126984127,biased_329,biased
0,0.5236985236985237,biased_112,biased
0,0.0025252525252525255,biased_368,biased
0,0.001554001554001554,biased_40,biased
0,0.015873015873015872,biased_128,biased
0,0.06349206349206349,biased_190,biased
0,0.006060606060606061,biased_240,biased
0,0.000666000666000666,biased_305,biased
0,0.009523809523809525,biased_169,biased
0,0.22377622377622375,biased_352,biased
0,0.1062937062937063,biased_95,biased
0,0.007936507936507936,biased_372,biased
0,0.05714285714285714,biased_364,biased
0,0.004329004329004329,biased_221,biased
0,0.015873015873015872,biased_348,biased
0,0.2,biased_165,biased
0,0.05714285714285714,biased_139,biased
0,0.001998001998001998,biased_181,biased
0,0.5476190476190477,biased_197,biased
0,0.9307359307359306,biased_103,biased
0,0.011988011988011988,biased_47,biased
0,0.10110151286621874,biased_123,biased
0,0.19047619047619047,biased_226,biased
0,0.02857142857142857,biased_375,biased
0,0.004848093083387201,biased_267,biased
0,0.0011655011655011655,biased_118,biased
0,0.007936507936507936,biased_159,biased
0,0.015873015873015872,biased_66,biased
0,1.0,biased_89,biased
0,2.057142857142857,biased_163,biased
1,0.08571428571428572,biased_163,biased
2,0.08571428571428572,biased_163,biased
0,0.14685314685314685,biased_134,biased
0,0.09523809523809523,biased_285,biased
0,0.0016806722689075631,biased_397,biased
0,1.0,biased_50,biased
0,0.03571428571428571,biased_250,biased
0,0.028904428904428903,biased_196,biased
0,0.0003996003996003996,biased_180,biased
0,0.34285714285714286,biased_354,biased
