,Size,Life Span,ROG,Type,Name,Label
1,18,0.9,2.4540661978786846,unbiased,unbiased_15,True
2,6,0.55,1.0732864839923124,unbiased,unbiased_336,True
9,5,0.3,0.8423406652136803,unbiased,unbiased_336,True
7,7,0.3,1.1919338713638012,unbiased,unbiased_42,True
5,11,0.5,1.462091151150565,unbiased,unbiased_361,True
1,4,0.15,0.8465233618713902,unbiased,unbiased_224,True
2,4,0.2,0.49514096936595503,unbiased,unbiased_224,True
1,3,0.6,1.123299507676508,unbiased,unbiased_377,True
3,5,0.65,1.0299966551462076,unbiased,unbiased_377,True
6,8,0.65,1.4094621981048887,unbiased,unbiased_377,True
3,12,0.8,1.6264956279726623,unbiased,unbiased_398,True
2,5,0.4,0.9036517286783274,unbiased,unbiased_232,True
5,4,0.15,0.809737484928178,unbiased,unbiased_232,True
6,13,0.8,1.1010317256593949,unbiased,unbiased_320,True
6,6,0.25,1.019659286235323,unbiased,unbiased_78,True
12,8,0.35,1.1901074832817586,unbiased,unbiased_137,True
8,6,0.25,0.9236921907001849,unbiased,unbiased_249,True
1,5,0.25,0.5996291987882267,unbiased,unbiased_199,True
7,6,0.3,0.8378810439775584,unbiased,unbiased_199,True
8,9,0.45,1.3376385516353662,unbiased,unbiased_81,True
3,8,0.4,0.9869341473187928,unbiased,unbiased_208,True
1,6,0.25,0.9735893330240201,unbiased,unbiased_290,True
5,6,0.25,0.9318502878367605,unbiased,unbiased_19,True
7,8,0.35,1.5367939075767987,unbiased,unbiased_156,True
10,8,0.35,1.4223198830498116,unbiased,unbiased_382,True
7,9,0.85,1.4414222611485459,unbiased,unbiased_228,True
3,9,0.6,1.0291449501068968,unbiased,unbiased_101,True
5,3,0.3,0.6344001534185426,unbiased,unbiased_101,True
8,8,0.6,0.7812272777404218,unbiased,unbiased_1,True
1,6,0.8,0.5771907084388597,unbiased,unbiased_58,True
6,6,0.4,0.853614423048734,unbiased,unbiased_117,True
0,12,0.55,1.8109011526528582,unbiased,unbiased_286,True
4,4,0.9,0.46890643154294637,unbiased,unbiased_286,True
3,7,0.35,1.0674974870231688,unbiased,unbiased_140,True
4,7,0.4,1.11659343518704,unbiased,unbiased_140,True
10,7,0.35,1.034781030808145,unbiased,unbiased_212,True
4,8,0.8,0.8208968787244594,unbiased,unbiased_245,True
8,5,0.9,0.6769513506940517,unbiased,unbiased_245,True
11,7,0.4,0.8724260562515941,unbiased,unbiased_23,True
4,14,0.8,1.775198201369414,unbiased,unbiased_316,True
0,9,0.9,1.0986117841883107,unbiased,unbiased_195,True
1,7,0.45,0.7944935366213087,unbiased,unbiased_195,True
