individual,time,x,y,cov,trv,rel,lbl
1,26.583521,0.38167309,-0.04373863,4.51781791,0.3115623,7.83157983,2
1,29.616694,0.78251291,0.03459891,4.19114829,0.3140345,7.79290013,2
1,32.616866,1.05911485,0.13663887,4.01299486,0.31556516,7.75898301,2
1,35.649039,1.29433567,0.24107254,3.90167545,0.31730288,7.73045979,2
1,38.649211,1.62801711,0.37471756,3.77177986,0.31906565,7.70776287,2
1,41.681384,1.99361905,0.38384975,3.60968285,0.32053361,7.69148502,2
1,44.681556,2.30934137,0.30349765,3.4659204,0.32145931,7.68261736,2
1,47.681727,2.60505775,0.16822762,3.33041928,0.32070297,7.68152907,2
1,50.683899,2.88060892,0.04886766,3.23705014,0.32338748,7.68569493,2
1,53.687071,3.24402716,-0.06744841,3.13907561,0.32230883,7.69599228,2
1,56.714244,3.57237157,-0.17114513,3.08137132,0.32239445,7.7132784,2
1,59.725416,3.94754698,-0.30243573,3.02176024,0.3253264,7.7343173,2
1,62.748589,4.27884056,-0.31241067,3.0432617,0.32740259,7.7603389,2
1,65.780763,4.63962359,-0.22686506,3.13252891,0.32674931,7.79178592,2
1,68.813936,4.97544669,-0.22627261,3.21486827,0.32872673,7.82678077,2
1,71.814108,5.32047934,-0.38178676,3.24317344,0.32421779,7.86328613,2
1,74.814279,5.60371297,-0.55177268,3.2792374,0.32081472,7.90215917,2
1,77.845453,5.89254401,-0.66569393,3.37005583,0.32184765,7.94185501,2
1,80.846624,6.17435923,-0.804611,3.47199118,0.32186421,7.98262946,2
1,83.848796,6.39934596,-0.95036203,3.57396765,0.32177354,8.02281359,2
1,86.878969,6.67518499,-1.16243183,3.74542708,0.32255241,8.06134186,2
1,89.888142,6.65547007,-1.16718493,3.79140242,0.32187031,8.09857545,2
1,92.912314,6.3908853,-1.17432148,3.68212302,0.3235954,8.13337417,2
1,95.944488,6.27674821,-1.24907265,3.67356235,0.3245963,8.16809726,2
1,98.94466,6.37156714,-1.24531719,3.77738734,0.32621799,8.20427607,2
1,101.944831,6.45198052,-1.45973203,3.84783162,0.32798746,8.23665831,2
1,104.977005,6.46741312,-1.70043753,3.90693072,0.3300025,8.26249451,2
1,107.978176,6.40851923,-1.32144314,3.94861879,0.33182169,8.29072001,2
1,111.024351,6.33920782,-1.45164383,3.93967086,0.33273631,8.31353437,2
1,114.043523,6.29419969,-1.55799632,3.94930181,0.33394761,8.33111086,2
1,117.046695,6.33757035,-1.49311519,4.01101981,0.33505832,8.34629895,2
1,120.075868,6.46792727,-1.18419453,4.18108503,0.3363431,8.36159721,2
1,123.07704,6.51735222,-1.03833207,4.29697388,0.33620043,8.37391668,2
1,126.077211,6.67034223,-0.81829187,4.52759488,0.33624521,8.38365366,2
1,129.080383,6.52148643,-0.97189123,4.37978959,0.33674559,8.38659506,2
1,132.108556,6.45065918,-1.04533382,4.32443994,0.33734279,8.38463485,2
1,135.108728,6.41760717,-1.31486968,4.217676,0.33754551,8.37620139,2
1,138.141901,6.28903953,-1.62673332,4.1052802,0.33915115,8.36176771,2
1,141.142073,5.96958565,-1.79398133,3.98252924,0.34075027,8.34156339,2
1,144.174246,5.59869672,-1.88822725,3.88412974,0.34219407,8.31682599,2
1,147.175418,5.24276551,-1.9712931,3.81679734,0.34217438,8.28942679,2
1,150.17859,4.82205017,-2.00391933,3.78026028,0.34221071,8.25975577,2
1,153.181762,4.42630795,-2.02616757,3.77630298,0.34339297,8.22842578,2
1,156.206935,4.04412549,-2.21909751,3.76434603,0.34346236,8.19463128,2
1,159.207106,3.64404608,-2.36849754,3.79142838,0.3438091,8.16033034,2
1,162.207278,3.20957261,-2.46874831,3.86827354,0.34388234,8.1258613,2
1,165.239451,2.8657872,-2.69803791,3.92541852,0.3421649,8.09202226,2
1,168.240623,2.53032049,-3.04925372,3.98744503,0.34164608,8.05896126,2
1,171.272797,2.19485764,-3.3931787,4.0791711,0.34320028,8.0258637,2
1,174.272968,1.86658862,-3.70363986,4.19779255,0.34472787,7.9937039,2
1,177.273139,1.58537835,-3.95567283,4.31803308,0.34458597,7.96587656,2
1,180.274312,1.43476487,-4.3665842,4.38351322,0.34390635,7.9805592,2
1,183.277483,1.22928585,-4.70232522,4.49648661,0.3443155,7.99514616,2
1,186.304656,1.17167664,-5.1058987,4.53431596,0.34585387,8.01207306,2
1,189.304828,1.09135831,-5.51049573,4.60003945,0.34654316,8.03128942,2
1,192.340002,1.05447555,-5.90859463,4.65094897,0.34691299,8.05054571,2
1,195.371175,1.13153358,-6.27290675,4.63421318,0.34867667,8.06960494,2
1,198.371346,1.28790205,-6.50318148,4.54476786,0.35062501,8.08812378,2
1,201.40652,1.34395732,-6.97627715,4.621972,0.35136029,8.10881956,2
1,204.437694,1.37275583,-7.23442236,4.65542657,0.35152129,8.12781535,2
1,207.469867,1.67931447,-7.3495002,4.4898236,0.35257975,8.14365439,2
1,210.470038,2.15227226,-7.18350161,4.16221201,0.35193577,8.15453947,2
1,213.47321,2.60555572,-7.1571263,3.97412892,0.35225812,8.16360856,2
1,216.503384,2.88683753,-7.10404558,3.86705225,0.35120296,8.1704122,2
1,219.503555,2.46569952,-7.27175688,3.95689618,0.3509389,8.17992327,2
1,222.535728,2.44688183,-7.30203113,3.92607118,0.35167654,8.18873435,2
1,225.550901,2.48143199,-7.39546286,3.90997364,0.35307378,8.1977238,2
1,228.568074,2.38178054,-7.77253821,4.0500806,0.35431909,8.20863712,2
1,231.568245,2.58474153,-8.02377314,4.07595009,0.35574426,8.21581646,2
1,234.601418,2.85242562,-8.19096575,4.06732907,0.35668181,8.22013942,2
1,237.60159,3.139325,-8.43445426,4.11582269,0.3574543,8.22370518,2
1,240.601762,3.29977816,-8.65671158,4.17558377,0.36147774,8.22518821,5
1,243.601933,3.61904459,-8.96824576,4.29576582,0.36252767,8.22278877,5
1,246.634107,3.98820736,-9.11336164,4.35059311,0.36580675,8.21436007,5
1,249.640279,4.38167023,-9.32038133,4.4710771,0.36928696,8.20084855,5
1,252.667452,4.82006416,-9.45612331,4.58734156,0.37120999,8.18096407,5
1,255.700625,5.30119461,-9.45627092,4.67306858,0.37285636,8.154173,5
1,258.732799,5.71799272,-9.2388898,4.66329899,0.37304358,8.11922223,5
1,261.733971,6.01846617,-8.97008624,4.61780112,0.37584031,8.07773807,5
1,264.766144,6.33200007,-8.67811382,4.6066614,0.3786975,8.03062366,5
1,267.766315,6.65642643,-8.40698396,4.64687134,0.382051,7.97821749,5
1,270.799489,7.02710194,-8.17154662,4.75912447,0.38251086,7.92117708,5
1,273.831663,7.15080029,-7.87139236,4.73240621,0.38515234,7.857614,5
1,276.832834,7.06080102,-7.54360625,4.59132578,0.38662686,7.78842212,5
1,279.836006,7.10107456,-7.16747916,4.555701,0.38868903,7.71637774,5
1,282.865179,7.17059849,-6.78625916,4.57427303,0.39171666,7.64131774,5
1,285.898353,7.20665927,-6.43331969,4.60435035,0.39309043,7.56319087,5
1,288.930526,7.07174734,-5.97554996,4.58461494,0.3928908,7.4831901,5
1,291.930698,6.7450854,-5.62402402,4.470538,0.39329988,7.40980894,5
1,294.930869,6.40051136,-5.3054917,4.38190256,0.39352662,7.34697224,5
1,297.963043,6.15472154,-5.06996164,4.3488903,0.39275269,7.29410518,5
1,300.964214,5.941372,-4.79822869,4.37488199,0.3923995,7.25020499,3
1,303.996388,5.63853736,-4.46405322,4.43167418,0.39248421,7.21355247,3
1,306.99656,5.30686573,-4.35275947,4.38643619,0.39236574,7.18632206,3
1,309.997731,4.93953102,-4.27224084,4.34459492,0.39198388,7.16698089,3
1,313.033905,4.62944587,-4.43620642,4.18485926,0.39136768,7.15651061,3
1,316.063078,4.48071917,-4.53582628,4.10562339,0.39094428,7.14986947,3
1,319.06325,4.18908158,-4.54666922,4.08404838,0.38950295,7.14736762,3
1,322.095423,3.71642403,-4.69015882,4.01219268,0.38896747,7.15245193,3
1,325.128596,3.30111407,-4.9584512,3.9100324,0.38786957,7.1676451,3
1,328.128768,3.03952359,-5.160505,3.86207406,0.38577409,7.19049552,5
1,331.161942,2.81723751,-5.41838528,3.80322727,0.38639749,7.22024799,5
1,334.194115,2.58531183,-5.66114178,3.78419654,0.38425563,7.25621216,5
1,337.194287,2.25299498,-5.90332016,3.83753556,0.38475277,7.29701882,5
1,340.22646,1.8738683,-6.10274749,3.98068077,0.38570379,7.34141692,5
1,343.228631,1.60345137,-6.40114484,4.08208204,0.38534184,7.38877657,5
1,346.231803,1.31717912,-6.81370815,4.22126067,0.38621923,7.43846696,5
1,349.259977,1.20658605,-7.32183251,4.30081186,0.38808186,7.48774838,5
1,352.29315,1.06459443,-7.66763509,4.47396806,0.3873657,7.53513638,5
1,355.325324,0.93287674,-8.04286639,4.67507837,0.38928721,7.58253847,5
1,358.325495,0.83371593,-8.48198511,4.89235523,0.39090245,7.63141222,5
1,361.325667,0.93088744,-8.80058286,4.96726164,0.39066805,7.6782029,5
1,364.325839,1.09070514,-9.12726368,5.01785628,0.39107402,7.72534099,5
1,367.358012,1.19317214,-9.37194523,5.10473709,0.39216121,7.76971995,5
1,370.358183,1.37088327,-9.6252388,5.15575809,0.39197334,7.80907565,5
1,373.358355,1.68499183,-9.95057351,5.17404837,0.39572585,7.84722932,5
1,376.360527,1.92796239,-10.35295965,5.30629132,0.39910569,7.88756601,5
1,379.3907,2.26548097,-10.62740596,5.35206148,0.39921576,7.92753861,5
1,382.391872,2.59270198,-10.94601384,5.46228268,0.40020286,7.97007823,5
1,385.408044,2.88583488,-11.15812664,5.55196998,0.39945325,8.01431628,5
1,388.424217,3.25805401,-11.36364144,5.63199774,0.39903261,8.0604681,5
1,391.429389,3.66313031,-11.48415679,5.67189821,0.39865114,8.10907522,5
1,394.456562,4.02736428,-11.54734319,5.70636419,0.39838439,8.16023408,5
1,397.489735,4.42312605,-11.79022037,5.89353433,0.39846197,8.21568012,5
1,400.521909,4.8056101,-12.01355666,6.09893631,0.39833068,8.2740799,5
1,403.52308,5.22494129,-12.05423877,6.1821636,0.39785131,8.33203675,5
1,406.556254,5.59573358,-11.88926414,6.1235214,0.39705575,8.39236505,5
1,409.558425,5.98196654,-11.77682906,6.12948222,0.39654505,8.45789426,5
1,412.588599,6.34056445,-11.5446983,6.05816332,0.39702189,8.52030884,5
1,415.58877,6.63455301,-11.27168845,5.9635491,0.39679112,8.58736539,5
1,418.620944,6.97233462,-11.03336789,5.92166921,0.39668217,8.65898937,5
1,421.621116,7.23232432,-10.75447216,5.84839604,0.39604201,8.73210156,5
1,424.654289,7.41685564,-10.37923498,5.70201596,0.39662473,8.8040519,5
1,427.65446,7.50137441,-9.97247125,5.51518734,0.39784663,8.87767593,5
1,430.687634,7.45174423,-9.5553012,5.28553658,0.39856154,8.95234982,5
1,433.687806,7.21377708,-9.22784274,5.04997031,0.39847397,9.03398418,5
1,436.719979,6.91403334,-8.94967114,4.83838687,0.39912937,9.12153724,5
1,439.721151,6.69372056,-8.72123868,4.69079525,0.39750978,9.21538498,5
1,442.723322,6.64450288,-8.32277216,4.51305952,0.39635341,9.31196893,5
1,445.726494,6.61377943,-7.91858818,4.354672,0.3962266,9.4119427,5
1,448.752667,6.61628186,-7.63049665,4.26249658,0.39673527,9.5160708,5
1,451.753839,6.6698494,-7.24756569,4.16074652,0.39774538,9.62235087,5
1,454.786013,6.73504013,-6.84801166,4.07377731,0.39768486,9.72976951,5
