id,x,y,z
1,11.06031027,-3.06555679,3.00328916
1,11.36719543,-2.88633014,2.89237192
1,11.64478108,-2.68175187,2.81211225
1,11.91890314,-2.48473314,2.70389315
1,11.98505466,-2.63718291,2.47686949
1,11.89861176,-2.75788016,2.44946046
1,11.61113458,-2.92933713,2.59121061
1,11.76338478,-2.75015113,2.61579116
1,11.98065739,-2.5120491,2.60874902
1,11.68751468,-2.92609947,2.50767663
1,11.2715075,-3.53047897,2.18494803
1,11.07678578,-3.70062284,2.15211403
1,10.92668723,-3.93415555,1.91684549
1,10.84893323,-4.02965051,1.82676728
1,10.59875474,-4.18706707,1.83985566
1,10.34059306,-4.29501272,1.95471214
1,9.89070787,-4.53713184,1.98944944
1,9.76897176,-4.51152991,2.18812604
1,9.60411352,-4.61220291,2.16051734
1,9.31358846,-4.71603585,2.2523928
2,9.17963107,4.88713922,2.0123279
2,9.44046687,4.74018516,2.06156276
2,9.34280649,4.66544382,2.32629011
2,9.39651932,4.61815802,2.36621485
2,9.68641641,4.48798241,2.32408007
2,9.95543922,4.28075807,2.42845998
2,9.93914599,4.25352215,2.49216644
2,9.95774407,4.0994958,2.72120699
2,10.17514225,3.88612772,2.83101243
2,9.98047371,4.13724338,2.64211153
2,9.88507438,4.38179181,2.3175907
2,9.98888827,4.48434634,1.98649583
2,10.19380032,4.4440539,1.8088653
2,9.84806664,4.56363184,1.98170641
2,9.92662787,4.69885682,1.51203814
2,10.10578491,4.47524189,1.85485521
2,10.0121847,4.51649971,1.88156047
2,10.1024746,4.57085672,1.61005297
2,10.20111366,4.56017578,1.47956646
2,10.09321664,4.70784273,1.16959877
3,-9.83848831,-4.68377924,-1.69211377
3,-9.65236736,-4.84628499,-1.49046062
3,-9.62398899,-4.89803481,-1.36160345
3,-9.37341847,-4.97647792,-1.50646077
3,-9.33866837,-4.85389142,-1.90710681
3,-9.21810944,-5.01713379,-1.60778829
3,-9.01606716,-5.25342555,-1.03882299
3,-9.12401501,-5.28052243,-0.55151645
3,-9.08559223,-5.30942204,-0.41598206
3,-8.89778371,-5.39852285,-0.25161933
3,-8.9769741,-5.36278466,0.30663452
3,-8.67748088,-5.49208972,0.11082384
3,-8.50547667,-5.55238165,0.29201827
3,-8.42764271,-5.57903057,0.34369677
3,-8.44470376,-5.54017896,0.69149233
3,-9.17458673,-5.2257943,0.80486864
3,-9.0617427,-5.25428701,0.92934002
3,-9.01123351,-5.24987874,1.0668603
3,-9.25133794,-5.09832135,1.26897832
3,-9.0018648,-5.046723,1.80892082
4,1.72455974,-3.44200194,-6.03399504
4,1.55715316,-3.52352914,-5.99821314
4,1.19935377,-3.54816974,-6.00423843
4,0.83723018,-3.55018859,-6.01838204
4,1.02530761,-3.81987825,-5.8434336
4,1.41864177,-4.03812539,-5.67365907
4,1.33100449,-3.75289306,-5.87136274
4,1.71488547,-3.2885534,-6.11965755
4,1.79100392,-3.02573872,-6.24843832
4,1.57794928,-3.18152123,-6.18509836
4,1.54116746,-3.56977753,-5.97184135
4,1.42605041,-3.62673756,-5.94460846
4,1.35948443,-3.64556225,-5.93698799
4,0.91176408,-3.65067248,-5.9552298
4,0.76380621,-3.62617248,-5.97536804
4,0.42663667,-3.48021245,-6.06981191
4,0.51813264,-3.83354576,-5.85122308
4,0.71444567,-3.93520203,-5.77811187
4,1.26814973,-3.92419212,-5.7618283
4,1.35801735,-4.02553184,-5.6863029
5,-12.56634248,-0.50014552,-3.04493245
5,-12.62016857,-0.79627589,-2.92382986
5,-12.4449217,-0.77378513,-3.11162941
5,-12.63119373,-0.08877426,-3.01750814
5,-12.75183077,0.46053487,-2.85229919
5,-12.45357819,0.52467506,-3.15464953
5,-12.54373043,0.42758736,-3.07910308
5,-12.43789384,-0.05682552,-3.21270447
5,-12.39960455,-0.36637725,-3.22927538
5,-12.2453793,-0.91508287,-3.26730696
5,-12.33047513,-1.12440145,-3.11858416
5,-12.56659522,-1.15068699,-2.86288152
5,-12.45192164,-1.13998916,-2.98962148
5,-12.41962928,-1.26459052,-2.97304775
5,-12.61674295,-1.42249711,-2.67972971
5,-12.85613532,-1.15546689,-2.51889706
5,-12.63575764,-1.78497827,-2.42863332
5,-12.45610545,-1.89641272,-2.57195996
5,-12.35014828,-2.00823781,-2.61446748
5,-12.18173518,-2.17167553,-2.68051438
6,-6.41758599,5.55061711,-2.80967921
6,-6.66113635,5.27178672,-3.18050003
6,-6.46056462,5.18083161,-3.42407068
6,-6.30183659,5.06354246,-3.66500364
6,-6.40982646,5.04823055,-3.63921689
6,-6.2379037,4.92517452,-3.87489295
6,-6.52174215,5.00356357,-3.65117398
6,-6.74589443,5.04838015,-3.48383193
6,-6.96162164,4.91687863,-3.56486473
6,-7.41753695,4.7193132,-3.60182167
6,-7.61349548,4.77253371,-3.4251414
6,-7.75123877,4.88642955,-3.17842423
6,-7.76079068,4.72839164,-3.40365164
